[class]	label	factory
<http://purl.obolibrary.org/obo/VO_0000003>	ACAM2000	Acambis, Inc
<http://purl.obolibrary.org/obo/VO_0000004>	ActHIB	Sanofi Pasteur, SA
<http://purl.obolibrary.org/obo/VO_0000005>	Adacel	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000006>	Afluria	CSL Limited
<http://purl.obolibrary.org/obo/VO_0000007>	Attenuvax	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000014>	Biothrax	BioPort Corp
<http://purl.obolibrary.org/obo/VO_0000015>	Boostrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000028>	Comvax	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000029>	Daptacel	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000030>	DECAVAC	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0000033>	Diphtheria and Tetanus Toxoids Adsorbed USP by Sanofi Pasteur Inc	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0000035>	Dryvax	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0000035>	Dryvax	Acambis, Inc
<http://purl.obolibrary.org/obo/VO_0000043>	FluLaval	ID Biomedical Corporation of Quebec
<http://purl.obolibrary.org/obo/VO_0000044>	FluMist	MedImmune Vaccines, Inc
<http://purl.obolibrary.org/obo/VO_0000045>	Fluarix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000046>	Fluvirin	Novartis Vaccines and Diagnostics
<http://purl.obolibrary.org/obo/VO_0000047>	Fluzone	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000049>	Gardasil	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000052>	Havrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000054>	IPOL	Sanofi Pasteur, SA
<http://purl.obolibrary.org/obo/VO_0000063>	Imovax Rabies (USA)	Sanofi Pasteur, SA
<http://purl.obolibrary.org/obo/VO_0000064>	Infanrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000065>	Influenza Virus Vaccine H5N1 (Sanofi Pasteur Inc)	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0000066>	JE-Vax	Research Foundation for Microbial Diseases of Osaka University
<http://purl.obolibrary.org/obo/VO_0000067>	Kinrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000069>	M-M-R II	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000070>	M-M-Vax	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000071>	Menactra	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0000072>	Menomune A C Y W135	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0000073>	Meruvax II	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000074>	Mumpsvax	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000078>	Mycobax	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000079>	Fluzone High-dose	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000081>	Influenza A (H1N1) 2009 Monovalent Vaccine (Novartis)	Novartis Vaccines and Diagnostics
<http://purl.obolibrary.org/obo/VO_0000082>	Pediarix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000083>	PedvaxHIB	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000084>	Pentacel	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000085>	Plague Vaccine by Greer Laboratories Inc	Greer Laboratories Inc
<http://purl.obolibrary.org/obo/VO_0000088>	Pneumovax 23	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000088>	Pneumovax 23	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000089>	Poliovax	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000090>	Prevnar	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000090>	Prevnar	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0000091>	ProQuad	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000092>	Fluzone Intradermal Quadrivalent	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000094>	RabAvert	Novartis Vaccines and Diagnostics
<http://purl.obolibrary.org/obo/VO_0000095>	Rabies Vaccine Adsorbed by BioPort Corp	BioPort Corp
<http://purl.obolibrary.org/obo/VO_0000097>	RotaTeq	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000102>	TENIVAC	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000103>	TICE BCG	Organon Teknika Corp LLC
<http://purl.obolibrary.org/obo/VO_0000104>	TYPHIM VI	Sanofi Pasteur, SA
<http://purl.obolibrary.org/obo/VO_0000109>	Tetanus Toxoid Adsorbed by Aventis Pasteur Inc	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0000111>	Tetanus and Diphtheria Toxoids Adsorbed by MA Biologic Lab	Massachusetts Public Health Biologic Lab
<http://purl.obolibrary.org/obo/VO_0000112>	Tripedia	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0000113>	Twinrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000119>	Varivax	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000120>	Vivotif (USA)	Berna Biotech, Ltd
<http://purl.obolibrary.org/obo/VO_0000121>	YF-Vax	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0000124>	Zostavax	Merck & Co., Inc.
