[class]	label
<http://purl.obolibrary.org/obo/VO_0000003>	ACAM2000
<http://purl.obolibrary.org/obo/VO_0000004>	ActHIB
<http://purl.obolibrary.org/obo/VO_0000005>	Adacel
<http://purl.obolibrary.org/obo/VO_0000006>	Afluria
<http://purl.obolibrary.org/obo/VO_0000007>	Attenuvax
<http://purl.obolibrary.org/obo/VO_0000014>	Biothrax
<http://purl.obolibrary.org/obo/VO_0000015>	Boostrix
<http://purl.obolibrary.org/obo/VO_0000028>	Comvax
<http://purl.obolibrary.org/obo/VO_0000029>	Daptacel
<http://purl.obolibrary.org/obo/VO_0000030>	DECAVAC
<http://purl.obolibrary.org/obo/VO_0000033>	Diphtheria and Tetanus Toxoids Adsorbed USP by Sanofi Pasteur Inc
<http://purl.obolibrary.org/obo/VO_0000035>	Dryvax
<http://purl.obolibrary.org/obo/VO_0000036>	ETEC vaccine ACAM2010
<http://purl.obolibrary.org/obo/VO_0000043>	FluLaval
<http://purl.obolibrary.org/obo/VO_0000044>	FluMist
<http://purl.obolibrary.org/obo/VO_0000045>	Fluarix
<http://purl.obolibrary.org/obo/VO_0000046>	Fluvirin
<http://purl.obolibrary.org/obo/VO_0000047>	Fluzone
<http://purl.obolibrary.org/obo/VO_0000049>	Gardasil
<http://purl.obolibrary.org/obo/VO_0000052>	Havrix
<http://purl.obolibrary.org/obo/VO_0000054>	IPOL
<http://purl.obolibrary.org/obo/VO_0000063>	Imovax Rabies (USA)
<http://purl.obolibrary.org/obo/VO_0000064>	Infanrix
<http://purl.obolibrary.org/obo/VO_0000065>	Influenza Virus Vaccine H5N1 (Sanofi Pasteur Inc)
<http://purl.obolibrary.org/obo/VO_0000066>	JE-Vax
<http://purl.obolibrary.org/obo/VO_0000067>	Kinrix
<http://purl.obolibrary.org/obo/VO_0000069>	M-M-R II
<http://purl.obolibrary.org/obo/VO_0000070>	M-M-Vax
<http://purl.obolibrary.org/obo/VO_0000071>	Menactra
<http://purl.obolibrary.org/obo/VO_0000072>	Menomune A C Y W135
<http://purl.obolibrary.org/obo/VO_0000073>	Meruvax II
<http://purl.obolibrary.org/obo/VO_0000074>	Mumpsvax
<http://purl.obolibrary.org/obo/VO_0000078>	Mycobax
<http://purl.obolibrary.org/obo/VO_0000079>	Fluzone High-dose
<http://purl.obolibrary.org/obo/VO_0000081>	Influenza A (H1N1) 2009 Monovalent Vaccine (Novartis)
<http://purl.obolibrary.org/obo/VO_0000082>	Pediarix
<http://purl.obolibrary.org/obo/VO_0000083>	PedvaxHIB
<http://purl.obolibrary.org/obo/VO_0000084>	Pentacel
<http://purl.obolibrary.org/obo/VO_0000085>	Plague Vaccine by Greer Laboratories Inc
<http://purl.obolibrary.org/obo/VO_0000088>	Pneumovax 23
<http://purl.obolibrary.org/obo/VO_0000089>	Poliovax
<http://purl.obolibrary.org/obo/VO_0000090>	Prevnar
<http://purl.obolibrary.org/obo/VO_0000091>	ProQuad
<http://purl.obolibrary.org/obo/VO_0000092>	Fluzone Intradermal Quadrivalent
<http://purl.obolibrary.org/obo/VO_0000094>	RabAvert
<http://purl.obolibrary.org/obo/VO_0000095>	Rabies Vaccine Adsorbed by BioPort Corp
<http://purl.obolibrary.org/obo/VO_0000097>	RotaTeq
<http://purl.obolibrary.org/obo/VO_0000102>	TENIVAC
<http://purl.obolibrary.org/obo/VO_0000103>	TICE BCG
<http://purl.obolibrary.org/obo/VO_0000104>	TYPHIM VI
<http://purl.obolibrary.org/obo/VO_0000109>	Tetanus Toxoid Adsorbed by Aventis Pasteur Inc
<http://purl.obolibrary.org/obo/VO_0000111>	Tetanus and Diphtheria Toxoids Adsorbed by MA Biologic Lab
<http://purl.obolibrary.org/obo/VO_0000112>	Tripedia
<http://purl.obolibrary.org/obo/VO_0000113>	Twinrix
<http://purl.obolibrary.org/obo/VO_0000119>	Varivax
<http://purl.obolibrary.org/obo/VO_0000120>	Vivotif (USA)
<http://purl.obolibrary.org/obo/VO_0000121>	YF-Vax
<http://purl.obolibrary.org/obo/VO_0000124>	Zostavax
<http://purl.obolibrary.org/obo/VO_0000160>	Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)
<http://purl.obolibrary.org/obo/VO_0000271>	F. tularensis vaccine LVS
<http://purl.obolibrary.org/obo/VO_0000348>	Influenza A (H1N1) 2009 Monovalent Vaccine (CSL Limited)
<http://purl.obolibrary.org/obo/VO_0000349>	Influenza A (H1N1) 2009 Monovalent Vaccine ( MedImmune LLC)
<http://purl.obolibrary.org/obo/VO_0000362>	USA licensed human vaccine
<http://purl.obolibrary.org/obo/VO_0000410>	Pandemrix
<http://purl.obolibrary.org/obo/VO_0000418>	Menactra injection 0.5mL vial
<http://purl.obolibrary.org/obo/VO_0000424>	polyvalent pneumococcal vaccine
<http://purl.obolibrary.org/obo/VO_0000433>	vaccinia virus vaccine
<http://purl.obolibrary.org/obo/VO_0000473>	non-typeable H. influenzae rLP4/rLP6 and Moraxella catarrhalis UspA2 protein vaccine
<http://purl.obolibrary.org/obo/VO_0000474>	killed nontypeable H. influenzae whole-cell vaccine
<http://purl.obolibrary.org/obo/VO_0000480>	nontypeable H. influenzae LOS-TT conjugate vaccine
<http://purl.obolibrary.org/obo/VO_0000502>	Inactivated ETEC expressing  expressing CFA/I and CFA/II
<http://purl.obolibrary.org/obo/VO_0000505>	EHEC O157 subunit vaccine using his-tagged N-terminal intimin
<http://purl.obolibrary.org/obo/VO_0000511>	ETEC vaccine ACAM2007
<http://purl.obolibrary.org/obo/VO_0000517>	ETEC vaccine ACAM2017
<http://purl.obolibrary.org/obo/VO_0000627>	H. influenzae Type b capsular polysaccharide vaccine
<http://purl.obolibrary.org/obo/VO_0000635>	licensed human vaccine
<http://purl.obolibrary.org/obo/VO_0000659>	HIBTITER
<http://purl.obolibrary.org/obo/VO_0000660>	ProHIBiT
<http://purl.obolibrary.org/obo/VO_0000663>	SC602
<http://purl.obolibrary.org/obo/VO_0000668>	CVD 1208S
<http://purl.obolibrary.org/obo/VO_0000670>	EcSf2a-2
<http://purl.obolibrary.org/obo/VO_0000677>	S. flexneri 2a strain CVD 1207
<http://purl.obolibrary.org/obo/VO_0000678>	S. sonnei strain WRSS1
<http://purl.obolibrary.org/obo/VO_0000714>	Canada licensed human vaccine
<http://purl.obolibrary.org/obo/VO_0000737>	Measles-Mumps-Rubella-Varicella vaccine
<http://purl.obolibrary.org/obo/VO_0000740>	P. falciparum vaccine Combination B
<http://purl.obolibrary.org/obo/VO_0000747>	DNA and MVA encoding ME-TRAP
<http://purl.obolibrary.org/obo/VO_0000771>	BCG vaccine
<http://purl.obolibrary.org/obo/VO_0000773>	MSP3-LSP with aluminium hydroxide
<http://purl.obolibrary.org/obo/VO_0000774>	P. falciparum RTS,S/AS02A
<http://purl.obolibrary.org/obo/VO_0000777>	'P. falciparum FMP1/AS02A
<http://purl.obolibrary.org/obo/VO_0000828>	Yersinia EV76
<http://purl.obolibrary.org/obo/VO_0000830>	rF1 + rV vaccine
<http://purl.obolibrary.org/obo/VO_0000847>	Plague vaccine USP
<http://purl.obolibrary.org/obo/VO_0000866>	Fluviral S/F
<http://purl.obolibrary.org/obo/VO_0000867>	Influvac
<http://purl.obolibrary.org/obo/VO_0000868>	Vaxigrip
<http://purl.obolibrary.org/obo/VO_0000882>	single-dose Vaxigrip
<http://purl.obolibrary.org/obo/VO_0000883>	multi-dose Vaxigrip
<http://purl.obolibrary.org/obo/VO_0000942>	Diphtheria-Tetanus-Pertussis-Haemophilus b vaccine
<http://purl.obolibrary.org/obo/VO_0000978>	Flublok
<http://purl.obolibrary.org/obo/VO_0000980>	Flucelvax
<http://purl.obolibrary.org/obo/VO_0000982>	FluMist Quadrivalent
<http://purl.obolibrary.org/obo/VO_0000983>	Fluarix Quadrivalent
<http://purl.obolibrary.org/obo/VO_0000984>	Tetanus Toxoid (for Boost use Only) by Sanofi Pasteur Inc
<http://purl.obolibrary.org/obo/VO_0001013>	Morupar
<http://purl.obolibrary.org/obo/VO_0001126>	Agriflu
<http://purl.obolibrary.org/obo/VO_0001244>	Prevnar 13
<http://purl.obolibrary.org/obo/VO_0001245>	Synflorix
<http://purl.obolibrary.org/obo/VO_0001246>	Menveo
<http://purl.obolibrary.org/obo/VO_0001817>	Afluria Quadrivalent
<http://purl.obolibrary.org/obo/VO_0002499>	Influenza A (H1N1) 2009 Monovalent Vaccine (IDB)
<http://purl.obolibrary.org/obo/VO_0003066>	Bexsero
<http://purl.obolibrary.org/obo/VO_0003067>	Flublok Quadrivalent
<http://purl.obolibrary.org/obo/VO_0003070>	Flucelvax Quadrivalent
<http://purl.obolibrary.org/obo/VO_0003071>	FluLaval Quadrivalent
<http://purl.obolibrary.org/obo/VO_0003072>	FluLaval Tetra
<http://purl.obolibrary.org/obo/VO_0003073>	Fluzone Quadrivalent
<http://purl.obolibrary.org/obo/VO_0003074>	Fluzone Quadrivalent - Southern Hemisphere Formulation
<http://purl.obolibrary.org/obo/VO_0003075>	Gardasil 9
<http://purl.obolibrary.org/obo/VO_0003080>	Nimenrix
<http://purl.obolibrary.org/obo/VO_0003081>	Trumenba
<http://purl.obolibrary.org/obo/VO_0003082>	Vaxchora
<http://purl.obolibrary.org/obo/VO_0003083>	Influenza A (H5N1) Virus Monovalent Vaccine, Adjuvanted by GSK
<http://purl.obolibrary.org/obo/VO_0003084>	Influenza A (H1N1) 2009 Monovalent Vaccine (GlaxoSmithKline)
<http://purl.obolibrary.org/obo/VO_0003085>	Adacel-Polio
<http://purl.obolibrary.org/obo/VO_0003088>	Boostrix-Polio
<http://purl.obolibrary.org/obo/VO_0003090>	Tri-Immunol
<http://purl.obolibrary.org/obo/VO_0003092>	Orimune vaccine
<http://purl.obolibrary.org/obo/VO_0003093>	P. falciparum RTS,S/AS01
<http://purl.obolibrary.org/obo/VO_0003096>	Ditanrix
<http://purl.obolibrary.org/obo/VO_0003097>	Rotashield vaccine
<http://purl.obolibrary.org/obo/VO_0003098>	Moraten vaccine
<http://purl.obolibrary.org/obo/VO_0003100>	Tevax vaccine
<http://purl.obolibrary.org/obo/VO_0003101>	Cholera Vaccine, USP
<http://purl.obolibrary.org/obo/VO_0003102>	Hexavax
<http://purl.obolibrary.org/obo/VO_0003103>	Rabipur vaccine
<http://purl.obolibrary.org/obo/VO_0003105>	Lymerix
<http://purl.obolibrary.org/obo/VO_0003106>	diphtheria, tetanus and whole cell pertussis vaccine
<http://purl.obolibrary.org/obo/VO_0003107>	Rabivac
<http://purl.obolibrary.org/obo/VO_0003110>	Rabie-Vax
<http://purl.obolibrary.org/obo/VO_0003111>	Mumpsvax II
<http://purl.obolibrary.org/obo/VO_0003112>	Rudivax
<http://purl.obolibrary.org/obo/VO_0003113>	Tetracoq
<http://purl.obolibrary.org/obo/VO_0003114>	Trihibit
<http://purl.obolibrary.org/obo/VO_0003115>	Optaflu
<http://purl.obolibrary.org/obo/VO_0003116>	TD-Rix
<http://purl.obolibrary.org/obo/VO_0003117>	Virivac
<http://purl.obolibrary.org/obo/VO_0003118>	M-M-R I
<http://purl.obolibrary.org/obo/VO_0003119>	Hib-Imune
<http://purl.obolibrary.org/obo/VO_0003121>	OmniHIB
<http://purl.obolibrary.org/obo/VO_0003129>	BCG Vaccine SSI
<http://purl.obolibrary.org/obo/VO_0003134>	YF-17D vaccine
<http://purl.obolibrary.org/obo/VO_0003135>	YF-17DD vaccine
<http://purl.obolibrary.org/obo/VO_0003136>	YF 17DD-YFV
<http://purl.obolibrary.org/obo/VO_0003138>	ACWY Vax
<http://purl.obolibrary.org/obo/VO_0003139>	Stamaril
