[class]	label	factory
<http://purl.obolibrary.org/obo/VO_0000003>	ACAM2000	Acambis, Inc
<http://purl.obolibrary.org/obo/VO_0000006>	Afluria	CSL Limited
<http://purl.obolibrary.org/obo/VO_0000007>	Attenuvax	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000014>	Biothrax	BioPort Corp
<http://purl.obolibrary.org/obo/VO_0000015>	Boostrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000019>	pVAX DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000021>	Brucella abortus vaccine RB51	Colorado Serum Company CZ Veterinaria
<http://purl.obolibrary.org/obo/VO_0000024>	pVAX1 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000026>	pCMV4 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000027>	pAp031 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000028>	Comvax	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000029>	Daptacel	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000030>	DECAVAC	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0000035>	Dryvax	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0000035>	Dryvax	Acambis, Inc
<http://purl.obolibrary.org/obo/VO_0000040>	pBC12/CMV DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000045>	Fluarix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000046>	Fluvirin	Novartis Vaccines and Diagnostics
<http://purl.obolibrary.org/obo/VO_0000049>	Gardasil	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000054>	IPOL	Sanofi Pasteur, SA
<http://purl.obolibrary.org/obo/VO_0000063>	Imovax Rabies (USA)	Sanofi Pasteur, SA
<http://purl.obolibrary.org/obo/VO_0000064>	Infanrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000065>	Influenza Virus Vaccine H5N1 (Sanofi Pasteur Inc)	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0000066>	JE-Vax	Research Foundation for Microbial Diseases of Osaka University
<http://purl.obolibrary.org/obo/VO_0000067>	Kinrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000069>	M-M-R II	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000070>	M-M-Vax	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000072>	Menomune A C Y W135	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0000073>	Meruvax II	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000075>	pBI/tTA DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000076>	pBISIA DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000078>	Mycobax	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000079>	Fluzone High-dose	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000080>	pBK-SFV DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000081>	Influenza A (H1N1) 2009 Monovalent Vaccine (Novartis)	Novartis Vaccines and Diagnostics
<http://purl.obolibrary.org/obo/VO_0000082>	Pediarix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000083>	PedvaxHIB	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000084>	Pentacel	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000085>	Plague Vaccine by Greer Laboratories Inc	Greer Laboratories Inc
<http://purl.obolibrary.org/obo/VO_0000086>	pBudCE4.1 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000088>	Pneumovax 23	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000088>	Pneumovax 23	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000090>	Prevnar	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000090>	Prevnar	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0000094>	RabAvert	Novartis Vaccines and Diagnostics
<http://purl.obolibrary.org/obo/VO_0000096>	Adenovirus Type 4 and Type 7 Vaccine, Live, Oral	Seqirus, Inc.
<http://purl.obolibrary.org/obo/VO_0000099>	Pcaggs DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000102>	TENIVAC	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000104>	TYPHIM VI	Sanofi Pasteur, SA
<http://purl.obolibrary.org/obo/VO_0000111>	Tetanus and Diphtheria Toxoids Adsorbed by MA Biologic Lab	Massachusetts Public Health Biologic Lab
<http://purl.obolibrary.org/obo/VO_0000113>	Twinrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000114>	pCAGGST7 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000116>	pCBINT DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000117>	pCdm7 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000119>	Varivax	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000120>	Vivotif (USA)	Berna Biotech, Ltd
<http://purl.obolibrary.org/obo/VO_0000121>	YF-Vax	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0000124>	Zostavax	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0000130>	pcDNA I/Amp DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000132>	pcDNA3 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000160>	Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000167>	pcDNA3.1V5HisTOPO/TA DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000175>	pCEP4 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000201>	Porcilis-PCV2	Intervet
<http://purl.obolibrary.org/obo/VO_0000212>	pCI DNA vaccine plasmid	Promega
<http://purl.obolibrary.org/obo/VO_0000214>	pCI-neo DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000215>	pCMV DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000216>	pCMV-1 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000217>	pCMV4 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000220>	pCMVI.UBF3/2 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000221>	pCMV-3FUB DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000230>	pCMV-LIC DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000231>	pCMVLuc DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000232>	pCR3 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000253>	pECK DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000257>	pET-28a DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000258>	pGA DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000259>	pGEX-3X DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000262>	pIRES DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000272>	pIRES2 DsRed2 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000274>	pING DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000275>	pJW24 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000277>	pK0 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000279>	pK3 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000280>	pMV60 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000282>	pMAMneoBlue DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000285>	pND DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000293>	pND2 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000301>	pRc/CMV DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000302>	pRc/CMV2 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000304>	pRK DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000306>	pRSV0 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000313>	pSC65 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000314>	pSG2 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000316>	pSG5 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000319>	pTH DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000320>	pTHamp DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000322>	pTR600 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000324>	pTVG4 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000326>	pUC18 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000328>	pV1J DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000334>	pVR1012 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000336>	pVR1012x/s DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000337>	pWRG1644 DNA vaccine plasmid	Invitrogen
