ID,LABEL,inSubset,subCategory,Parent,Parent (name),Equivalent Class,alternative ID,alternative label,definition,definition source,term editor,editor note,example of usage,term tracker item,comment,seeAlso,hasDbXref,VIOLIN vaccine ID,RxNORM ID,RxNORM Preferred Name,vaccine STN,FDA vaccine indications,status of vaccine development,NCBI GeneID,Unnamed: 25,trade name,vaccine package insert PDF URL,vaccine proper name,has vaccine ingredient,has vaccine active ingredient,immunizes host,immunizes against disease,immunizes against pathogen,is_distributed_by,is_distributed_by (name),is_manufactured_by,is_manufactured_by (name),has quality,has role,has part,has component,has prime vaccine,has vaccine component,has vaccine vector,has vaccine antigen,has subunit vaccine antigen,has subunit vaccine protective antigen,has vaccine protective antigen,has gene mutation,vaccine organism has mutation,has vaccine allergen,has function,expresses,is_specified_input_of,vaccinated in route,blocks transmission of pathogen via vaccine,vaccine immunity response transferrable to organism,associated axioms
ID,Rdfs:label,A http://www.geneontology.org/formats/oboInOwl#inSubset,,C % SPLIT=|,,EC %,A http://www.geneontology.org/formats/oboInOwl#hasAlternativeId SPLIT=|,A alternative label SPLIT=|,Definition,A definition source SPLIT=|,A term editor SPLIT=|,A editor note SPLIT=|,A example of usage SPLIT=|,A term tracker item SPLIT=|,A rdfs:comment SPLIT=|,A rdfs:seeAlso SPLIT=|,A http://www.geneontology.org/formats/oboInOwl#hasDbXref SPLIT=|,A VIOLIN vaccine ID SPLIT=|,A RxNORM ID SPLIT=|,A RxNORM Preferred Name SPLIT=|,A vaccine STN SPLIT=|,A FDA vaccine indications SPLIT=|,A status of vaccine development SPLIT=|,A NCBI GeneID SPLIT=|,,A trade name SPLIT=|,A vaccine package insert PDF URL SPLIT=|,A vaccine proper name SPLIT=|,A has vaccine ingredient SPLIT=|,A has vaccine active ingredient SPLIT=|,C 'immunizes host' some % SPLIT=|,C 'immunizes against disease' some % SPLIT=|,C 'immunizes against pathogen' some % SPLIT=|,C is_distributed_by value % SPLIT=|,,C is_manufactured_by value % SPLIT=|,,C 'has quality' some % SPLIT=|,C 'has role' some % SPLIT=|,C 'has part' some % SPLIT=|,C 'has component' some % SPLIT=|,C 'has prime vaccine' some % SPLIT=|,C 'has vaccine component' some % SPLIT=|,C 'has vaccine vector' some % SPLIT=|,C 'has vaccine antigen' some % SPLIT=|,C 'has subunit vaccine antigen' some % SPLIT=|,C 'has subunit vaccine protective antigen' some % SPLIT=|,C 'has vaccine protective antigen' some % SPLIT=|,C 'has gene mutation' some % SPLIT=|,C 'vaccine organism has mutation' some % SPLIT=|,C 'has vaccine allergen' some % SPLIT=|,C 'has function' some % SPLIT=|,C expresses some % SPLIT=|,C is_specified_input_of some % SPLIT=|,C 'vaccinated in route' some % SPLIT=|,C 'blocks transmission of pathogen via vaccine' some % SPLIT=|,C 'vaccine immunity response transferrable to organism' some % SPLIT=|,C %
VO:0000001,Vaccine,vaccine,,OBI:0000047,processed material,('processed material') and ('has role' some 'vaccine role'),,,"Vaccine is a processed material with the function that when administered, it prevents or ameliorates a disorder in a target organism by inducing or modifying adaptive immune responses specific to the antigens in the vaccine.",,Oliver He|Bjoern Peters|Barry Smith|Melanie Courtot|Lindsay Cowell|nan|Ronak Sutariya,"Many vaccines are developed to protect against infectious pathogens that causes infectious diseases. Many vaccines are also being developed against other diseases such as cancer, allergy, and autoimmune diseases.",,,,MeSH: D014612,,,,,,,,,,,,,,,,,,,,,,,vaccine role,,,,,,,,,,,,,('vaccine function' and ('realized in' some 'vaccine immunization')),,,,,,
VO:0000003,Acam2000,vaccine,,VO:0000433,vaccinia virus vaccine,,,,,http://purl.bioontology.org/ontology/RXNORM/833083|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm180810.htm,Kallan Roan|Oliver He,,,,,,,,833083,,BL 125158,Active immunization against smallpox disease for persons determined to be at high risk for smallpox infection.,,,,ACAM2000,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM142572.pdf,"Smallpox (Vaccinia) Vaccine, Live",,,Homo sapiens,,,,,VO:0000686|VO:0005568,"Acambis, Inc|Emergent Product Development Gaithersburg, Inc.",vaccine organism live attenuated,USA licensed vaccine role,smallpox vaccine live vaccinia virus,,,,,,,,,,,,,,percutaneous vaccination,,,,
VO:0000004,Acthib,vaccine,,VO:0000662,Haemophilus influenzae serotype b vaccine,,,,,https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm174743.htm,Kallan Roan|Oliver He,"Preparation: The vaccine consists of the Haemophilus b capsular polysaccharide (polyribosyl-ribitol-phosphate, PRP), a high molecular weight polymer prepared from the Haemophilus influenzae  type b (HiB) strain 1482 grown in a semi-synthetic medium, covalently bound to tetanus toxoid. The tetanus toxoid is prepared by extraction, ammonium sulfate purification, and formalin inactivation of the toxin from cultures of Clostridium tetani (Harvard strain) grown in a modified Mueller and Miller medium. The toxoid is filter sterilized prior to the conjugation process. When ActHIB vaccine is reconstituted with saline diluent, each single dose of 0.5 mL is formulated to contain 10 mu g of purified capsular polysaccharide conjugated to 24 mu g of inactivated tetanus toxoid, and 8.5% of sucrose (ActHIB 2005). 
Reference: http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=157&keywords=",,,,PMID:1517908|PMID:1735812,,,,,103935,ActHIB vaccine is indicated for the active immunization of infants and children 2 months through 5 years of age for the prevention of invasive disease caused by H influenzae type b.,,,,ActHIB,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM109841.pdf,Haemophilus b Conjugate Vaccine (Tetanus Toxoid Conjugate),,,Homo sapiens,,,,,VO:0000703,"Sanofi Pasteur, SA",,Canada licensed vaccine role|USA licensed vaccine role,capsular polysaccharide of pathogen organism as vaccine component|vaccine conjugate protein,,,,,,,,,,,,,,intramuscular vaccination,,,,
VO:0000005,Adacel,vaccine,,VO:0000738,Diphtheria-Tetanus-Pertussis vaccine,,,,,http://purl.bioontology.org/ontology/RXNORM/605718|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm172481.htm,Kallan Roan|Oliver He,,,,,,,,605718,,BL 125111,"Booster immunization against tetanus, diphtheria and pertussis as a single dose in individuals 10 through 64 years of age.",,,,Adacel,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM142764.pdf,"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis Vaccine, Adsorbed",,,Homo sapiens,,,,,VO:0000699,Sanofi Pasteur Limited,,Canada licensed vaccine role|USA licensed vaccine role,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated|Bordetella pertussis fimbriae 2/3 vaccine, inactivated|Bordetella pertussis pertactin vaccine, inactivated|Bordetella pertussis toxoid vaccine, inactivated|diphtheria toxoid vaccine, inactivated|tetanus toxoid vaccine, inactivated",,,,,,,,,,,,,,,,,,
VO:0000006,Afluria,vaccine,,VO:0000642,Influenza virus vaccine,,,,,WEB: http://www.cdc.gov/vaccines/pubs/pinkbook/downloads/appendices/B/excipient-table-2.pdf|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm094043.htm,Kallan Roan|Oliver He,,,,,,,,,,BL 125254,For active immunization of persons ages 6 months of age and older against influenza disease caused by influenza virus subtypes A and type B present in the vaccine.,,,,AFLURIA,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM263239.pdf,Influenza Virus Vaccine,,,Homo sapiens,,Alphainfluenzavirus,VO:0000695,"Merck & Co., Inc.",VO:0000689|VO:0005570,CSL Limited|Seqirus Pty. Ltd,vaccine organism inactivated,USA licensed vaccine role,,,,,,,,,,,,chicken egg protein allergen|neomycin,,,intramuscular vaccination,,,,
VO:0000007,Attenuvax,vaccine,,VO:0000654,Measles virus vaccine,,,,,,Oliver He,,,,"Product Name: Measles Virus Vaccine, Live|Trade Name: Attenuvax",,,,,,,,,,,,,,,,Homo sapiens,,,,,VO:0000695,"Merck & Co., Inc.",vaccine organism live attenuated,USA licensed vaccine role,,,,,,,,,,,,,,,,,,,
VO:0000013,Bacillus anthracis vaccine,vaccine,,VO:0000165,bacterial vaccine,,,anthrax vaccine,Vaccine that protects against bacillus anthrax that causes anthrax.,,Oliver He,,,,,MeSH: D022122,,,,,,,,,,,,,,,,,Bacillus anthracis,,,,,,,,,,,,,,,,,,,,,,,,,
VO:0000014,Biothrax,vaccine,,VO:0000013,Bacillus anthracis vaccine,,,,,http://purl.bioontology.org/ontology/RXNORM/404894|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm133822.htm,Kallan Roan|Oliver He,,,,,,,,404894,,BL 103821,For the active immunization for the prevention of disease caused by Bacillus anthracis in persons between 18 and 65 years of age at high risk of exposure.,,,,Biothrax,https://www.fda.gov/downloads/BiologicsBloodVaccines/BloodBloodProducts/ApprovedProducts/LicensedProductsBLAs/UCM074923.pdf,Anthrax Vaccine Adsorbed,,,Homo sapiens,,,,,VO:0000688|VO:0005567,BioPort Corp|Emergent BioDefense Operations Lansing LLC,,USA licensed vaccine role,BACILLUS ANTHRACIS STRAIN V770-NP1-R ANTIGENS|protein of pathogen organism as vaccine component,,,,,,,,,,,,,,intramuscular vaccination,,,,
VO:0000015,Boostrix,vaccine,,VO:0000738,Diphtheria-Tetanus-Pertussis vaccine,,,,,http://purl.bioontology.org/ontology/RXNORM/583411|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm172925.htm,Kallan Roan|Oliver He,,,,,,,,583411,,BL 125106,"Booster immunization against tetanus, diphtheria and pertussis as a single dose in individuals 10 years of age and older.",,,,Boostrix,https://www.fda.gov/downloads/BiologicsBloodVaccines/UCM152842.pdf,"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis Vaccine, Adsorbed",,,Homo sapiens,,,,,VO:0000690,GlaxoSmithKline plc,,Canada licensed vaccine role|USA licensed vaccine role,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated|Bordetella pertussis pertactin vaccine, inactivated|Bordetella pertussis toxoid vaccine, inactivated|diphtheria toxoid vaccine, inactivated|tetanus toxoid vaccine, inactivated",,,,,,,,,,,,,,,,,,
VO:0000017,Killed vaccine,vaccine,,VO:0000315,inactivated vaccine,,,,Whole organism vaccine that uses killed pathogen organism as its component.,,Asiyah Yu Lin,,,,,,,,,,,,,,,,,,,,,,,,,,,vaccine organism inactivated,,,,,,,,,,,,,,,,,,,,
VO:0000018,Brucella abortus dna vaccine pcdna-sod,vaccine,,VO:0001225,Brucella abortus DNA vaccine,,,,Brucella abortus vaccine that expresses cu/zn sod with dna plasmid pcdna.,,Oliver He,,,,,PMID:15039330,,,,,,,,,,,,,,,Mus musculus,,,,,,,,vaccine in research role,,,,,,,,,,,,,,sodC from B. abortus strain 2308,,,,,
VO:0000021,Brucella abortus vaccine rb51,vaccine,,VO:0001134,live attenuated Brucella abortus vaccine,,,B. abortus RB51|Brucella RB-51|Brucella RB51|SRB51,Brucella abortus vaccine rb51 is a brucella abortus vaccine that is licensed in the usa since 1992.,,Oliver He,,,,,PMID:10534009|PMID:11193615|PMID:11500423|PMID:11504226|PMID:11504238|PMID:11553603|PMID:11768128|PMID:12119140|PMID:12438380|PMID:12704101|PMID:1439207|PMID:16713034|PMID:17653832|PMID:17894637|PMID:18836016|PMID:1908158|PMID:19362381|PMID:19439382|PMID:7622248|PMID:7806364|PMID:7927779|PMID:8039890|PMID:8740701|PMID:8890203|WEB: http://rb51.com,,,,,,,,,,,,,,,Bison bison|Bos taurus|Bubalus bubalis bubalis|Mus musculus,,,,,VO:0000890,Colorado Serum Company CZ Veterinaria,,,,,,,,,,,,,wboA from B. abortus strain 2308,,,,,,,,
VO:0000022,Brucella abortus vaccine strain 19,vaccine,,VO:0001134,live attenuated Brucella abortus vaccine,,,Brucella S19|Brucella strain-19,Live attenuated brucella abortus vaccine that is licensed and used in many countries.,,Oliver He,,,,,PMID:11058778|PMID:8039890,,,,,,,,,,,,,,,Bos taurus|Mus musculus,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO:0000025,Brucella vaccine,vaccine,,VO:0000165,bacterial vaccine,('bacterial vaccine') and ('immunizes against pathogen' some 'Brucella'),,brucellosis vaccine,Vaccine that protects against brucella that causes brucellosis in animals and humans.,,Oliver He,,,,,MeSH: D002004,,,,,,,,,,,,,,,,,Brucella,,,,,,,,,,,,,,,,,,,,,,,,,
VO:0000028,Comvax,vaccine,,VO:0000746,Haemophilus b and Hepatitis B vaccine,,,,,http://purl.bioontology.org/ontology/RXNORM/139056,Oliver He,,,,Product Name: Haemophilus b Conjugate Vaccine (Meningococcal Protein Conjugate) & Hepatitis B Vaccine (Recombinant)|Trade Name: Comvax,,,,139056,,,,,,,,,,,,Homo sapiens,,,,,VO:0000695,"Merck & Co., Inc.",,USA licensed vaccine role,Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine|Hepatitis B surface antigen vaccine,,,,,,,,,,,,,,intramuscular vaccination,,,,
