ID,LABEL in VO,OMOP concept ID
VO:0000096,"Adenovirus Type 4 and Type 7 Vaccine, Live, Oral",40213264
VO:0000152,Francisella tularensis vaccine,40213241
VO:0000295,human immunodeficiency virus vaccine,40213318
VO:0000422,melanoma vaccine,40213171
VO:0000433,vaccinia virus vaccine,40213248
VO:0000451,Parainfluenza 3 virus vaccine,40213194
VO:0000463,Coxiella burnetii vaccine,40213204
VO:0000487,typhoid live oral vaccine,40213242
VO:0000648,Yersinia pestis vaccine,40213197
VO:0000731,Measles-Mumps-Rubella vaccine,40213183
VO:0000737,Measles-Mumps-Rubella-Varicella vaccine,40213184
VO:0000738,Diphtheria-Tetanus-Pertussis vaccine,40213291
VO:0000738,Diphtheria-Tetanus-Pertussis vaccine,40213291
VO:0000743,Diphtheria-Tetanus-Pertussis-Poliovirus-Hepatitis B vaccine,40213286
VO:0000745,Hepatitis A&B vaccine,40213303
VO:0000761,malaria vaccine,40213169
VO:0000762,Leishmania vaccine,40213165
VO:0000764,Lyme disease vaccine,40213167
VO:0000771,Bacillus Calmette-Guerin (BCG) vaccine,40213271
VO:0000945,Measles-Rubella vaccine,40213168
VO:0003150,Hepatitis B surface antigen vaccine,528323
VO:0003155,rVSV-ZEBOV,702662
VO:0003168,Diphtheria-Tetanus-Acellular Pertussis-Haemophilus b vaccine,40213287
VO:0003180,TDAP,40213230
VO:0003196,inactivated acellular pertussis vaccine,529218
VO:0003204,"Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML",42800491
VO:0003206,"Bordetella pertussis toxoid vaccine, inactivated 0.016 MG/ML",42800495
VO:0003212,pneumococcal capsular polysaccharide type 1 vaccine,40163661
VO:0003217,pneumococcal capsular polysaccharide type 11A vaccine,40163670
VO:0003218,pneumococcal capsular polysaccharide type 12F vaccine,40163672
VO:0003219,pneumococcal capsular polysaccharide type 14 vaccine,40163674
VO:0003220,pneumococcal capsular polysaccharide type 15B vaccine,40163676
VO:0003221,pneumococcal capsular polysaccharide type 17F vaccine,40163678
VO:0003222,pneumococcal capsular polysaccharide type 18C vaccine,40163680
VO:0003223,pneumococcal capsular polysaccharide type 19A vaccine,40163682
VO:0003224,pneumococcal capsular polysaccharide type 19F vaccine,40163684
VO:0003225,pneumococcal capsular polysaccharide type 2 vaccine,40163686
VO:0003226,pneumococcal capsular polysaccharide type 20 vaccine,40163688
VO:0003227,pneumococcal capsular polysaccharide type 22F vaccine,40163690
VO:0003230,hepatitis B surface antigen vaccine 0.04 MG/ML,19133385
VO:0003231,0.5 ML Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injection [Heplisav-B],793520
VO:0003232,pneumococcal capsular polysaccharide type 4 vaccine,40163698
VO:0003235,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML,46276184
VO:0003237,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML [Recombivax],19133370
VO:0003238,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection [Recombivax],46275242
VO:0003239,1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe [Recombivax],19133378
VO:0003241,1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection [Recombivax],46275237
VO:0003242,Hepatitis B Surface Antigen Vaccine Injection [Recombivax],46276309
VO:0003243,Hepatitis B Surface Antigen Vaccine Prefilled Syringe [Recombivax],40156563
VO:0003244,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe [Recombivax],19133380
VO:0003246,pneumococcal capsular polysaccharide type 8 vaccine,40163706
VO:0003248,pneumococcal capsular polysaccharide type 3 vaccine,40163694
VO:0003249,pneumococcal capsular polysaccharide type 33F vaccine,40163696
VO:0003250,pneumococcal capsular polysaccharide type 6B vaccine,40163702
VO:0003252,pneumococcal capsular polysaccharide type 23F vaccine,40163692
VO:0003253,pneumococcal capsular polysaccharide type 7F vaccine,40163704
VO:0003254,pneumococcal capsular polysaccharide type 9N vaccine,40163708
VO:0003255,pneumococcal capsular polysaccharide type 5 vaccine,40163700
VO:0003256,Hepatitis B Surface Antigen Vaccine 0.02 MG/ML,528324
VO:0003257,Hepatitis B Surface Antigen Vaccine 0.005 MG/ML,19133373
VO:0003258,Hepatitis B Surface Antigen Vaccine Prefilled Syringe [Engerix-B],40150695
VO:0003259,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection,46275243
VO:0003260,influenza A virus A/California/7/2009 (H1N1) antigen 0.12 MG/ML,46275391
VO:0003262,0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection,46275229
