ID,LABEL in VO,RxNorm ID,RxNorm Preferred Name
VO:0003150,Hepatitis B surface antigen vaccine,797752,hepatitis B surface antigen vaccine
VO:0003196,inactivated acellular pertussis vaccine,798302,"acellular pertussis vaccine, inactivated"
VO:0003204,"Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML",1300185,"Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML"
VO:0003206,"Bordetella pertussis toxoid vaccine, inactivated 0.016 MG/ML",1300366,"Bordetella pertussis toxoid vaccine, inactivated 0.016 MG/ML"
VO:0003212,pneumococcal capsular polysaccharide type 1 vaccine,854930,Streptococcus pneumoniae type 1 capsular polysaccharide antigen
VO:0003217,pneumococcal capsular polysaccharide type 11A vaccine,854934,Streptococcus pneumoniae type 11A capsular polysaccharide antigen
VO:0003218,pneumococcal capsular polysaccharide type 12F vaccine,854936,Streptococcus pneumoniae type 12F capsular polysaccharide antigen
VO:0003219,pneumococcal capsular polysaccharide type 14 vaccine,854938,Streptococcus pneumoniae type 14 capsular polysaccharide antigen
VO:0003220,pneumococcal capsular polysaccharide type 15B vaccine,854940,Streptococcus pneumoniae type 15B capsular polysaccharide antigen
VO:0003221,pneumococcal capsular polysaccharide type 17F vaccine,854942,Streptococcus pneumoniae type 17F capsular polysaccharide antigen
VO:0003222,pneumococcal capsular polysaccharide type 18C vaccine,854944,Streptococcus pneumoniae type 18C capsular polysaccharide antigen
VO:0003223,pneumococcal capsular polysaccharide type 19A vaccine,854946,Streptococcus pneumoniae type 19A capsular polysaccharide antigen
VO:0003224,pneumococcal capsular polysaccharide type 19F vaccine,854948,Streptococcus pneumoniae type 19F capsular polysaccharide antigen
VO:0003225,pneumococcal capsular polysaccharide type 2 vaccine,854950,Streptococcus pneumoniae type 2 capsular polysaccharide antigen
VO:0003226,pneumococcal capsular polysaccharide type 20 vaccine,854952,Streptococcus pneumoniae type 20 capsular polysaccharide antigen
VO:0003227,pneumococcal capsular polysaccharide type 22F vaccine,854954,Streptococcus pneumoniae type 22F capsular polysaccharide antigen
VO:0003230,hepatitis B surface antigen vaccine 0.04 MG/ML,830260,hepatitis B surface antigen vaccine 0.04 MG/ML
VO:0003231,0.5 ML Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injection [Heplisav-B],1994352,0.5 ML hepatitis B surface antigen vaccine 0.04 MG/ML Injection [Heplisav-B]
VO:0003232,pneumococcal capsular polysaccharide type 4 vaccine,854962,Streptococcus pneumoniae type 4 capsular polysaccharide antigen
VO:0003235,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML,1657332,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML
VO:0003237,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML [Recombivax],830212,hepatitis B surface antigen vaccine 0.01 MG/ML [Recombivax]
VO:0003238,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection [Recombivax],1658155,0.5 ML hepatitis B surface antigen vaccine 0.01 MG/ML Injection [Recombivax]
VO:0003239,1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe [Recombivax],830245,1 ML hepatitis B surface antigen vaccine 0.01 MG/ML Prefilled Syringe [Recombivax]
VO:0003241,1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection [Recombivax],1658150,1 ML hepatitis B surface antigen vaccine 0.01 MG/ML Injection [Recombivax]
VO:0003242,Hepatitis B Surface Antigen Vaccine Injection [Recombivax],1657683,hepatitis B surface antigen vaccine Injection [Recombivax]
VO:0003243,Hepatitis B Surface Antigen Vaccine Prefilled Syringe [Recombivax],830244,hepatitis B surface antigen vaccine Prefilled Syringe [Recombivax]
VO:0003244,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe [Recombivax],830253,0.5 ML hepatitis B surface antigen vaccine 0.01 MG/ML Prefilled Syringe [Recombivax]
VO:0003246,pneumococcal capsular polysaccharide type 8 vaccine,854970,Streptococcus pneumoniae type 8 capsular polysaccharide antigen
VO:0003248,pneumococcal capsular polysaccharide type 3 vaccine,854958,Streptococcus pneumoniae type 3 capsular polysaccharide antigen
VO:0003249,pneumococcal capsular polysaccharide type 33F vaccine,854960,Streptococcus pneumoniae type 33F capsular polysaccharide antigen
VO:0003250,pneumococcal capsular polysaccharide type 6B vaccine,854966,Streptococcus pneumoniae type 6B capsular polysaccharide antigen
VO:0003252,pneumococcal capsular polysaccharide type 23F vaccine,854956,Streptococcus pneumoniae type 23F capsular polysaccharide antigen
VO:0003253,pneumococcal capsular polysaccharide type 7F vaccine,854968,Streptococcus pneumoniae type 7F capsular polysaccharide antigen
VO:0003254,pneumococcal capsular polysaccharide type 9N vaccine,854972,Streptococcus pneumoniae type 9N capsular polysaccharide antigen
VO:0003255,pneumococcal capsular polysaccharide type 5 vaccine,854964,Streptococcus pneumoniae type 5 capsular polysaccharide antigen
VO:0003256,Hepatitis B Surface Antigen Vaccine 0.02 MG/ML,797753,hepatitis B surface antigen vaccine 0.02 MG/ML
VO:0003257,Hepatitis B Surface Antigen Vaccine 0.005 MG/ML,830236,hepatitis B surface antigen vaccine 0.005 MG/ML
VO:0003258,Hepatitis B Surface Antigen Vaccine Prefilled Syringe [Engerix-B],798427,hepatitis B surface antigen vaccine Prefilled Syringe [Engerix-B]
VO:0003259,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection,1658156,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection
VO:0003260,influenza A virus A/California/7/2009 (H1N1) antigen 0.12 MG/ML,1658708,influenza A virus A/California/7/2009 (H1N1) antigen 0.12 MG/ML
VO:0003262,0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection,1658142,0.5 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection
VO:0003263,Hepatitis B Surface Antigen Vaccine 0.02 MG/ML [Engerix-B],798422,hepatitis B surface antigen vaccine 0.02 MG/ML [Engerix-B]
VO:0003264,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B],798428,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B]
VO:0003265,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection [Engerix-B],1658157,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection [Engerix-B]
VO:0003266,0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection [Engerix-B],1658144,0.5 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection [Engerix-B]
VO:0003267,0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B],798430,0.5 ML hepatitis B surface antigen vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B]
VO:0003270,Hepatitis B Surface Antigen Vaccine Injection [Heplisav-B],1994350,hepatitis B surface antigen vaccine Injection [Heplisav-B]
VO:0003272,0.65 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML Injection,1292432,0.65 ML varicella-zoster virus vaccine live (Oka-Merck) strain 29800 UNT/ML Injection
VO:0003273,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain,1292422,varicella-zoster virus vaccine live (Oka-Merck) strain
VO:0003274,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injection,1658006,varicella-zoster virus vaccine live (Oka-Merck) strain Injection
VO:0003275,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 2700 UNT/ML,1292423,varicella-zoster virus vaccine live (Oka-Merck) strain 2700 UNT/ML
