ID,LABEL in VO,RxNorm OMOP extension ID,RxNorm Preferred Name
VO:0018624,"Japanese encephalitis virus vaccine, inactivated 0.012 MG/ML Injection",OMOP1000069,"Japanese encephalitis virus vaccine, inactivated 0.012 MG/ML Injection"
VO:0018265,rabies virus vaccine flury-lep strain Prefilled Syringe [Rabipur],OMOP1000408,rabies virus vaccine flury-lep strain Prefilled Syringe [Rabipur]
VO:0017519,"tetanus toxoid vaccine, inactivated 20 LFU/ML",OMOP1000612,"tetanus toxoid vaccine, inactivated 20 LFU/ML"
VO:0018004,"acellular pertussis vaccine, inactivated / Bordetella pertussis / diphtheria toxoid vaccine, inactivated / poliovirus vaccine inactivated, type 1 (Mahoney) / poliovirus vaccine inactivated, type 2 (MEF-1) Injection",OMOP1000731,"acellular pertussis vaccine, inactivated / Bordetella pertussis / diphtheria toxoid vaccine, inactivated / poliovirus vaccine inactivated, type 1 (Mahoney) / poliovirus vaccine inactivated, type 2 (MEF-1) Injection"
VO:0015800,Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension Box of 1,OMOP1000770,Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension Box of 1
VO:0018768,A/Hong Kong/4801/2014 (H3n2) - Like Virus,OMOP1000965,A/Hong Kong/4801/2014 (H3n2) - Like Virus
VO:0018289,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT/ML Prefilled Syringe",OMOP1001066,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT/ML Prefilled Syringe"
VO:0021040,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Solution,OMOP1001914,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Solution
VO:0020731,"BCG, Live, Connaught Strain 81 MG Injectable Suspension [ImmuCyst] Box of 1",OMOP1002041,"BCG, Live, Connaught Strain 81 MG Injectable Suspension [ImmuCyst] Box of 1"
VO:0015615,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injectable Suspension [HBvaxPRO],OMOP1002121,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injectable Suspension [HBvaxPRO]
VO:0017420,"diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 40 UNT/ML Injection",OMOP1002207,"diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 40 UNT/ML Injection"
VO:0017877,Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.02 MG/ML,OMOP1002210,Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.02 MG/ML
VO:0015660,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injectable Suspension,OMOP1002738,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injectable Suspension
VO:0017455,Neisseria meningitidis polysaccharide group Y tetanus toxoid conjugate,OMOP1002805,Neisseria meningitidis polysaccharide group Y tetanus toxoid conjugate
VO:0015668,1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injectable Suspension,OMOP1002820,1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injectable Suspension
VO:0018545,"0.5 ML L1 protein, Human papillomavirus type 16 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.04 MG/ML Injectable Suspension",OMOP1003019,"0.5 ML L1 protein, Human papillomavirus type 16 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.04 MG/ML Injectable Suspension"
VO:0015694,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injectable Suspension [HBvaxPRO] Box of 1,OMOP1003081,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injectable Suspension [HBvaxPRO] Box of 1
VO:0020730,"BCG, Live, Connaught Strain 81 MG Injectable Suspension [ImmuCyst]",OMOP1003184,"BCG, Live, Connaught Strain 81 MG Injectable Suspension [ImmuCyst]"
VO:0020982,"Influenza Virus Surface Antigen, strain A / Victoria / 361/2011 H3N2 - Derived Strain Used Ivr-165",OMOP1003334,"Influenza Virus Surface Antigen, strain A / Victoria / 361/2011 H3N2 - Derived Strain Used Ivr-165"
VO:0016704,"diphtheria toxoid vaccine, inactivated 60 LFU/ML",OMOP1003447,"diphtheria toxoid vaccine, inactivated 60 LFU/ML"
VO:0015191,1 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injectable Suspension,OMOP1003501,1 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injectable Suspension
VO:0015643,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension [Engerix-B],OMOP1003703,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension [Engerix-B]
VO:0016578,Hepatitis A Vaccine (Inactivated) Strain HM175 / Hepatitis B Surface Antigen Vaccine Injectable Suspension,OMOP1003998,Hepatitis A Vaccine (Inactivated) Strain HM175 / Hepatitis B Surface Antigen Vaccine Injectable Suspension
VO:0015783,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injectable Suspension Box of 1,OMOP1004140,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injectable Suspension Box of 1
VO:0015542,Hepatitis B Surface Antigen Vaccine Injectable Suspension [HBvaxPRO],OMOP1004210,Hepatitis B Surface Antigen Vaccine Injectable Suspension [HBvaxPRO]
VO:0018020,Poliomyelitis Virus Type 3 (Sabin Strain (Leon 12a1b)) Live Attenuated Oral Vaccine,OMOP1004287,Poliomyelitis Virus Type 3 (Sabin Strain (Leon 12a1b)) Live Attenuated Oral Vaccine
VO:0016009,0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension Box of 1,OMOP1004291,0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension Box of 1
VO:0018018,"Poliomyelitis Virus Type 2 (Sabin Strain (P712, Ch, 2ab)) Live Attenuated Oral Vaccine",OMOP1004329,"Poliomyelitis Virus Type 2 (Sabin Strain (P712, Ch, 2ab)) Live Attenuated Oral Vaccine"
VO:0018011,poliomyelitis virus type 1 brunhilde,OMOP1004381,poliomyelitis virus type 1 brunhilde
VO:0020694,"Antigens Surface Of Virus Influenza, strain A / Switzerland / 9715293/2013 H3N2 - Analogue Strain A / Switzerland / 9715293/2013, Nib-88",OMOP1004394,"Antigens Surface Of Virus Influenza, strain A / Switzerland / 9715293/2013 H3N2 - Analogue Strain A / Switzerland / 9715293/2013, Nib-88"
VO:0017770,"acellular pertussis vaccine, inactivated Injectable Suspension",OMOP1004473,"acellular pertussis vaccine, inactivated Injectable Suspension"
VO:0015997,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injectable Suspension Box of 1,OMOP1004754,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injectable Suspension Box of 1
