#mapping_set_id: http://purl.obolibrary.org/obo/vo/mappings/vo-cvx.sssom.tsv
#mapping_set_title: Vaccine Ontology to CVX Mappings
#license: https://creativecommons.org/licenses/by/4.0/
#curie_map:
#  VO: 'http://purl.obolibrary.org/obo/VO_'
#  cvx: 'https://biopragmatics.github.io/providers/cvx/'
#  oboInOwl: 'http://www.geneontology.org/formats/oboInOwl#'
subject_id	subject_label	object_id	object_label	predicate_id	mapping_justification
VO:0000738	Diphtheria-Tetanus-Pertussis vaccine	cvx:01	diphtheria, tetanus toxoids and pertussis vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005469	trivalent poliovirus vaccine, live, oral	cvx:02	trivalent poliovirus vaccine, live, oral	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000731	Measles-Mumps-Rubella vaccine	cvx:03	measles, mumps and rubella virus vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000945	Measles-Rubella vaccine	cvx:04	measles and rubella virus vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010441	licensed human measles virus vaccine	cvx:05	measles virus vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010450	licensed human rubella virus vaccine	cvx:06	rubella virus vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010442	licensed human mumps virus vaccine	cvx:07	mumps virus vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010171	hepatitis B vaccine, pediatric or pediatric/adolescent dosage	cvx:08	hepatitis B vaccine, pediatric or pediatric/adolescent dosage	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005466	tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use (2 Lf of tetanus toxoid and 2 Lf of diphtheria toxoid)	cvx:09	tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use (2 Lf of tetanus toxoid and 2 Lf of diphtheria toxoid)	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003834	poliovirus vaccine inactivated	cvx:10	poliovirus vaccine, inactivated	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010435	licensed human bordetella pertussis vaccine	cvx:11	pertussis vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006005	diphtheria antitoxin	cvx:12	diphtheria antitoxin	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005452	tetanus immune globulin	cvx:13	tetanus immune globulin	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005446	immune globulin, unspecified formulation	cvx:14	immune globulin, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006023	influenza virus vaccine split virus (incl. purified surface antigen)-retired CODE	cvx:15	influenza virus vaccine, split virus (incl. purified surface antigen)-retired CODE	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006025	influenza virus vaccine whole virus	cvx:16	influenza virus vaccine, whole virus	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006006	Haemophilus influenzae type b vaccine conjugate unspecified formulation	cvx:17	Haemophilus influenzae type b vaccine, conjugate unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010212	rabies vaccine, for intramuscular injection RETIRED CODE	cvx:18	rabies vaccine, for intramuscular injection RETIRED CODE	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000771	Bacillus Calmette-Guerin (BCG) vaccine	cvx:19	Bacillus Calmette-Guerin vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000738	Diphtheria-Tetanus-Pertussis vaccine	cvx:20	diphtheria, tetanus toxoids and acellular pertussis vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0021165	varicella virus vaccine	cvx:21	varicella virus vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005460	DTP-Haemophilus influenzae type b conjugate vaccine	cvx:22	DTP-Haemophilus influenzae type b conjugate vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000648	Yersinia pestis vaccine	cvx:23	plague vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010156	Anthrax vaccine, adsorbed, pre-exposure and post-exposure prophylaxis	cvx:24	Anthrax vaccine, adsorbed, pre-exposure and post-exposure prophylaxis	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000487	typhoid live oral vaccine	cvx:25	typhoid vaccine, live, oral	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006002	cholera vaccine unspecified formulation	cvx:26	cholera vaccine, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006001	botulinum antitoxin	cvx:27	botulinum antitoxin	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010158	diphtheria and tetanus toxoids, adsorbed for pediatric use	cvx:28	diphtheria and tetanus toxoids, adsorbed for pediatric use	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005441	cytomegalovirus immune globulin passive vaccine, intravenous	cvx:29	cytomegalovirus immune globulin, intravenous	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005443	hepatitis B immune globulin passive vaccine	cvx:30	hepatitis B immune globulin	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006010	hepatitis A vaccine pediatric dosage unspecified formulation	cvx:31	hepatitis A vaccine, pediatric dosage, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010201	meningococcal polysaccharide vaccine (MPSV4)	cvx:32	meningococcal polysaccharide vaccine (MPSV4)	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010207	pneumococcal polysaccharide vaccine, 23 valent	cvx:33	pneumococcal polysaccharide vaccine, 23 valent	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005447	rabies immune globulin	cvx:34	rabies immune globulin	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010220	tetanus toxoid, adsorbed	cvx:35	tetanus toxoid, adsorbed	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005454	varicella zoster immune globulin	cvx:36	varicella zoster immune globulin	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010226	yellow fever vaccine live	cvx:37	yellow fever vaccine live	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003418	Mumps-Rubella Vaccine	cvx:38	rubella and mumps virus vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010199	Japanese Encephalitis vaccine SC	cvx:39	Japanese Encephalitis Vaccine SC	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006045	rabies vaccine for intradermal injection	cvx:40	rabies vaccine, for intradermal injection	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006084	typhoid vaccine parenteral other than acetone-killed dried	cvx:41	typhoid vaccine, parenteral, other than acetone-killed, dried	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006014	hepatitis B vaccine adolescent/high risk infant dosage	cvx:42	hepatitis B vaccine, adolescent/high risk infant dosage	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010154	hepatitis B vaccine, adult dosage	cvx:43	hepatitis B vaccine, adult dosage	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
