#mapping_set_id: http://purl.obolibrary.org/obo/vo/mappings/vo-fda.sssom.tsv
#mapping_set_title: Vaccine Ontology to FDA STN Mappings
#license: https://creativecommons.org/licenses/by/4.0/
#curie_map:
#  VO: 'http://purl.obolibrary.org/obo/VO_'
#  oboInOwl: 'http://www.geneontology.org/formats/oboInOwl#'
#  stn: 'https://bioregistry.io/stn:'
subject_id	subject_label	object_id	predicate_id	mapping_justification
VO:0000003	ACAM2000 vaccine	stn:BL125158	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000004	ActHIB vaccine	stn:103935	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000005	Adacel vaccine	stn:BL125111	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000006	Afluria vaccine	stn:BL125254	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000014	Biothrax vaccine	stn:BL103821	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000015	Boostrix vaccine	stn:BL125106	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000029	Daptacel vaccine	stn:103666	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000031	MenHibrix vaccine	stn:BL125363/0	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000043	FluLaval	stn:BL125163	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000044	FluMist	stn:BL125020	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000045	Fluarix vaccine	stn:BL125127	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000046	Fluvirin	stn:BL103837	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000047	Fluzone	stn:BL103914	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000049	Gardasil vaccine	stn:125126	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000052	Havrix vaccine	stn:BL103475	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
