#mapping_set_id: http://purl.obolibrary.org/obo/vo/mappings/vo-omop.sssom.tsv
#mapping_set_title: Vaccine Ontology to OMOP Mappings
#license: https://creativecommons.org/licenses/by/4.0/
#curie_map:
#  VO: 'http://purl.obolibrary.org/obo/VO_'
#  oboInOwl: 'http://www.geneontology.org/formats/oboInOwl#'
#  omop: 'http://api.ohdsi.org/WebAPI/vocabulary/concept/'
subject_id	subject_label	object_id	predicate_id	mapping_justification
VO:0003196	inactivated acellular pertussis vaccine	omop:529218	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003270	Hepatitis B Surface Antigen Vaccine Injection [Heplisav-B]	omop:793518	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003272	0.65 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML Injection	omop:42800034	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003273	Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain	omop:42800027	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003274	Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injection	omop:46275138	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003275	Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 2700 UNT/ML	omop:42800029	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003276	0.5 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 2700 UNT/ML Injection	omop:42800030	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003279	Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML	omop:42800033	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003281	Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injection [Zostavax]	omop:46275142	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003282	Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML [Zostavax]	omop:42800036	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003283	0.65 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML Injection [Zostavax]	omop:42800035	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003559	Prevnar 13 vaccine 0.5 ML Prefilled Syringe	omop:40173508	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003823	influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 158000000 UNT/ML / influenza A virus A/Slovenia/2903/2015 (H1N1) antigen 158000000 UNT/ML / influenza B virus B/Colorado/06/2017 antigen 158000000 UNT/ML / influenza B virus B/Phuket/3073/2013 antigen 158000000 UNT/ML [Flumist Quadrivalent 2018-2019]	omop:35200284	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003824	FluMist Quadrivalent, 2018-2019 Formula Nasal Spray	omop:35200285	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003839	acellular pertussis vaccine, inactivated 0.116 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / Hepatitis B Surface Antigen Vaccine 0.02 MG/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [PEDIARIX]	omop:19034102	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003840	PEDIARIX vaccine Prefilled Syringe	omop:40156527	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003841	PEDIARIX vaccine 0.5 ML Prefilled Syringe	omop:523290	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003872	COMVAX Injection 0.5 ML Injection	omop:530006	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003873	Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine 0.265 MG/ML / Hepatitis B Surface Antigen Vaccine 0.01 MG/ML [COMVAX]	omop:19016888	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003880	Flublok 2013-2014 Formula Influenza Virus Vaccine Injectable Solution	omop:44507888	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003881	Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.09 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.09 MG/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.09 MG/ML [Flublok 2013-2014 Formula]	omop:44507889	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003952	Japanese encephalitis virus vaccine Nakayama-NIH strain, inactivated 0.012 MG/ML [Ixiaro]	omop:42873199	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003953	Ixiaro (Japanese Encephalitis Vaccine, Inactivated, Adsorbed) Prefilled Syringe	omop:40159359	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003954	0.5 ML Ixiaro 0.012 MG/ML Prefilled Syringe	omop:42873439	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003971	acellular pertussis vaccine, inactivated 96 UNT/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 68 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [Pentacel]	omop:19131878	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003972	Pentacel vaccine Injection	omop:46276201	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003973	Pentacel vaccine 0.5 ML Injection	omop:19131879	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003982	Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.02 MG/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML [Daptacel]	omop:42800462	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0003983	DAPTACEL vaccine 0.5 ML Injection	omop:42800470	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0004815	Rotavirus Vaccine, Live Attenuated, G1P[8] Human 89-12 strain	omop:19032599	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0004816	Rotavirus Vaccine, Live Attenuated, G1P[8] Human 89-12 strain 1000000 UNT/ML	omop:19131937	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0004836	Neisseria meningitidis serogroup W-135 oligosaccharide diphtheria CRM197 protein conjugate vaccine	omop:40173207	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0004837	Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine	omop:40173205	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0004838	Neisseria meningitidis serogroup Y oligosaccharide diphtheria CRM197 protein conjugate vaccine	omop:40173209	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0004839	Neisseria meningitidis serogroup A oligosaccharide diphtheria CRM197 protein conjugate vaccine	omop:40173198	oboInOwl:hasDbXref	semapv:LexicalMatching
VO:0004840	Neisseria meningitidis serogroup W-135 oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML	omop:40173208	oboInOwl:hasDbXref	semapv:LexicalMatching
