#mapping_set_id: http://purl.obolibrary.org/obo/vo/mappings/vo-rxnorm.sssom.tsv
#mapping_set_title: Vaccine Ontology to RxNorm Mappings
#license: https://creativecommons.org/licenses/by/4.0/
#curie_map:
#  VO: 'http://purl.obolibrary.org/obo/VO_'
#  oboInOwl: 'http://www.geneontology.org/formats/oboInOwl#'
#  rxnorm: 'http://purl.bioontology.org/ontology/RXNORM/'
subject_id	subject_label	object_id	predicate_id	mapping_justification
VO:0003150	Hepatitis B surface antigen vaccine	rxnorm:797752	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003196	inactivated acellular pertussis vaccine	rxnorm:798302	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003204	Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML	rxnorm:1300185	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003206	Bordetella pertussis toxoid vaccine, inactivated 0.016 MG/ML	rxnorm:1300366	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003212	pneumococcal capsular polysaccharide type 1 vaccine	rxnorm:854930	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003217	pneumococcal capsular polysaccharide type 11A vaccine	rxnorm:854934	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003218	pneumococcal capsular polysaccharide type 12F vaccine	rxnorm:854936	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003219	pneumococcal capsular polysaccharide type 14 vaccine	rxnorm:854938	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003220	pneumococcal capsular polysaccharide type 15B vaccine	rxnorm:854940	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003221	pneumococcal capsular polysaccharide type 17F vaccine	rxnorm:854942	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003222	pneumococcal capsular polysaccharide type 18C vaccine	rxnorm:854944	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003223	pneumococcal capsular polysaccharide type 19A vaccine	rxnorm:854946	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003224	pneumococcal capsular polysaccharide type 19F vaccine	rxnorm:854948	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003225	pneumococcal capsular polysaccharide type 2 vaccine	rxnorm:854950	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003226	pneumococcal capsular polysaccharide type 20 vaccine	rxnorm:854952	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003227	pneumococcal capsular polysaccharide type 22F vaccine	rxnorm:854954	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003230	hepatitis B surface antigen vaccine 0.04 MG/ML	rxnorm:830260	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
