#mapping_set_id: http://purl.obolibrary.org/obo/vo/mappings/vo-usda.sssom.tsv
#mapping_set_title: Vaccine Ontology to USDA Vaccine Mappings
#license: https://creativecommons.org/licenses/by/4.0/
#curie_map:
#  VO: http://purl.obolibrary.org/obo/VO_
#  usda:: ???:
subject_id	subject_label	object_id	predicate_id	mapping_justification
VO:0001530	Canary Pox Modified Live Virus Vaccine (USDA: 1623.10)	usda:1623.10	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001531	Pigeon Pox Live Virus Vaccine (USDA: 1881.10)	usda:1881.10	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001532	Pigeon Pox Live Virus Vaccine (USDA: 1881.12)	usda:1881.12	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001533	Pigeon Pox Live Virus Vaccine (USDA: 1881.14)	usda:1881.14	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001534	Quail Pox Live Virus Vaccine (USDA: 18E1.10)	usda:18E1.10	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001535	Fox Encephalitis Killed Virus Vaccine (USDA: 1635.20)	usda:1635.20	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001536	Mink Distemper Modified Live Virus Vaccine (USDA: 1451.00)	usda:1451.00	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001537	Mink Distemper Modified Live Virus Vaccine (USDA: 1451.01)	usda:1451.01	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001538	Mink Distemper Modified Live Virus Vaccine (USDA: 1451.20)	usda:1451.20	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001540	Feline calicivirus Killed Virus Vaccine (USDA: 15C5.21)	usda:15C5.21	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001541	Feline calicivirus Modified Live Virus Vaccine (USDA: 15C1.22)	usda:15C1.22	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001542	Feline immunodeficiency virus Killed Virus Vaccine (USDA: 15A5.21)	usda:15A5.21	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001543	Feline immunodeficiency virus Killed Virus Vaccine (USDA: 15A5.23)	usda:15A5.23	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001544	Feline Infectious Peritonitis Modified Live Virus Vaccine (USDA: 15A1.20)	usda:15A1.20	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001545	Feline Leukemia Killed Virus Vaccine (USDA: 1555.20)	usda:1555.20	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001546	Feline Leukemia Killed Virus Vaccine (USDA: 1555.21)	usda:1555.21	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001547	Feline Leukemia Killed Virus Vaccine (USDA: 1555.22)	usda:1555.22	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001548	Feline Leukemia Killed Virus Vaccine (USDA: 1555.R1)	usda:1555.R1	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001549	Feline Leukemia Live Canarypox Vector Vaccine (USDA: 1555.R3)	usda:1555.R3	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001550	Feline Panleukopenia Killed Virus Vaccine (USDA: 1565.20)	usda:1565.20	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001551	Feline Panleukopenia Modified Live Virus Vaccine (USDA: 1561.00)	usda:1561.00	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001552	Feline Panleukopenia Modified Live Virus Vaccine (USDA: 1561.20)	usda:1561.20	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001553	Feline Panleukopenia Modified Live Virus Vaccine (USDA: 1561.21)	usda:1561.21	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001554	Feline Panleukopenia Modified Live Virus Vaccine (USDA: 1561.23)	usda:1561.23	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001555	Feline Rhinotracheitis Modified Live Virus Vaccine (USDA: 16A1.22)	usda:16A1.22	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001556	Edwardsiella ictaluri Avirulent Live Culture Vaccine (USDA: 1531.00)	usda:1531.00	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001557	Anthrax Spore live culture Vaccine (USDA: 1011.00)	usda:1011.00	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001558	Bovine Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 1095.20)	usda:1095.20	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001559	Bovine Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 1095.21)	usda:1095.21	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001560	Bovine Respiratory Syncytial Virus Vaccine Modified Live Virus (USDA: 1091.20)	usda:1091.20	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001561	Bovine Rhinotracheitis Killed Virus Vaccine (USDA: 1105.20)	usda:1105.20	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001562	Bovine Rhinotracheitis Modified Live Virus Vaccine (USDA: 1101.00)	usda:1101.00	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001563	Bovine Rhinotracheitis Modified Live Virus Vaccine (USDA: 1101.20)	usda:1101.20	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001564	Bovine Rhinotracheitis Modified Live Virus Vaccine (USDA: 1101.21)	usda:1101.21	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001565	Bovine Rhinotracheitis Modified Live Virus Vaccine (USDA: 1101.22)	usda:1101.22	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001566	Bovine Rhinotracheitis Modified Live Virus Vaccine (USDA: 1101.B0)	usda:1101.B0	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001567	Bovine Virus Diarrhea Killed Virus Vaccine (USDA: 1205.00)	usda:1205.00	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001568	Bovine Virus Diarrhea Killed Virus Vaccine (USDA: 1205.20)	usda:1205.20	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001569	Bovine Virus Diarrhea Killed Virus Vaccine (USDA: 1205.21)	usda:1205.21	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001570	Bovine Virus Diarrhea Killed Virus Vaccine (USDA: 1205.22)	usda:1205.22	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001571	Bovine Virus Diarrhea Killed Virus Vaccine (USDA: 1205.25)	usda:1205.25	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001572	Bovine Virus Diarrhea Modified Live Virus Vaccine (USDA: 1201.00)	usda:1201.00	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001573	Bovine Virus Diarrhea Modified Live Virus Vaccine (USDA: 1201.20)	usda:1201.20	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001574	Bovine Virus Diarrhea Modified Live Virus Vaccine (USDA: 1201.22)	usda:1201.22	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001575	Brucella Abortus Strain 19, Live Culture Vaccine (USDA: 1251.01)	usda:1251.01	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001576	Brucella Abortus Strain 19, Live Culture, Reduced Dose Vaccine (USDA: 1251.02)	usda:1251.02	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001577	Brucella Abortus Strain RB-51, Live Culture Vaccine (USDA: 1261.00)	usda:1261.00	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001578	Parainfluenza 3 Modified Live Virus Vaccine (USDA: 1841.00)	usda:1841.00	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001579	Parainfluenza 3 Modified Live Virus Vaccine (USDA: 1841.20)	usda:1841.20	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0001580	Salmonella Choleraesuis Avirulent Live Culture Vaccine (USDA: 19A1.00)	usda:19A1.00	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
