#mapping_set_id: http://purl.obolibrary.org/obo/vo/mappings/vo-cvx.sssom.tsv
#mapping_set_title: Vaccine Ontology to CVX Mappings
#license: https://creativecommons.org/licenses/by/4.0/
#curie_map:
#  VO: 'http://purl.obolibrary.org/obo/VO_'
#  cvx: 'https://biopragmatics.github.io/providers/cvx/'
#  oboInOwl: 'http://www.geneontology.org/formats/oboInOwl#'
subject_id	subject_label	object_id	object_label	predicate_id	mapping_justification
VO:0005291	Fos47 vaccine adjuvant	vac:5	Fos47	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005270	1V270 vaccine adjuvant	vac:6	1V270	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005271	2B182C vaccine adjuvant	vac:7	2B182C	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005303	2F52 vaccine adjuvant	vac:8	2F52	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005281	2E151 vaccine adjuvant	vac:9	2E151	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0006094	CpG55.2 vaccine adjuvant	vac:10	CpG55.2	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005295	CaPNP (CaPtivant)(TM) vaccine adjuvant	vac:11	CaPNP (CaPtivant)(TM)	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005301	Alhydroxiquim-II vaccine adjuvant	vac:12	Alhydroxiquim-II	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005329	dmLT vaccine adjuvant	vac:13	dmLT	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005286	Mannadjuvant	vac:14	Mannadjuvant	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005302	Adjuplex+GLA vaccine adjuvant	vac:15	Adjuplex+GLA	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005285	MiT4 vaccine adjuvant	vac:16	MiT4	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005292	EmT4 vaccine adjuvant	vac:17	EmT4	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005293	Em vaccine adjuvant	vac:18	Em	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005299	AlT4 vaccine adjuvant	vac:19	AlT4	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005287	LiT4 vaccine adjuvant	vac:20	LiT4	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005300	AlT3 vaccine adjuvant	vac:21	AlT3	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005284	NanoVax/NE01 vaccine adjuvant	vac:22	NanoVax/NE01	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005419	MicroCrystalline Tyrosine vaccine adjuvant	vac:25	MicroCyrstalline Tyrosine¨ (MCT)	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005289	INI-2004 vaccine adjuvant	vac:26	INI-2004	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005282	UM-1098 vaccine adjuvant	vac:27	UM-1098	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005288	INI-4001 vaccine adjuvant	vac:28	INI-4001	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005290	INI-2002 vaccine adjuvant	vac:29	INI-2002	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005294	defective viral genome-derived oligonucleotide vaccine adjuvant	vac:30	DDO (Defective viral genome-Derived Oligonucleotide)	oboInOwl:hasDbXref	semapv:ManualMappingCuration
VO:0005298	BECC438b vaccine adjuvant	vac:31	BECC438b	oboInOwl:hasDbXref	semapv:ManualMappingCuration
