order,Ontology ID,LABEL,altID,Parent label,Parent,Equivalent Class,Gene names,NCBI GeneID,status of vaccine development,has role,has quality,vaccine component/role,has function,immunizes disease,immunizes recipient,immunizes against pathogen,vaccinated in route,definition,PubMed,other link,VIOLIN ID,VIOLIN Link,GitHub tracker,NCI link,NCT link,Term editors,alternative label,database_cross_reference,term tracker item,xingxian comment
,ID,A rdfs:label,A http://www.geneontology.org/formats/oboInOwl#hasAlternativeId SPLIT=|,,C %,EC %,A rdfs:comment,A NCBI GeneID SPLIT=|,A status of vaccine development,C 'has role' some % SPLIT=|,C 'has quality' some % SPLIT=|,,C 'has function' some % SPLIT=|,C 'immunizes against disease' some % SPLIT=|,C 'immunizes recipient' some % SPLIT=|,C 'immunizes against pathogen' some % SPLIT=|,C 'vaccinated in route' some % SPLIT=|,A definition SPLIT=|,A definition source SPLIT=|,A definition source SPLIT=|,A VIOLIN vaccine ID,A definition source SPLIT=|,A term tracker item SPLIT=|,A definition source SPLIT=|,A definition source SPLIT=|,A term editor SPLIT=|,A alternative label SPLIT=|,A http://www.geneontology.org/formats/oboInOwl#hasDbXref SPLIT=|,A term tracker item SPLIT=|,
1,VO:0000177,cancer vaccine,,vaccine for disease,VO:0005503,('vaccine' and 'immunizes against disease' some 'cancer'),,,,,,,,cancer,,,,Vaccine that prevents or treats cancer.,,,,,,,,Jie Zheng|Anna Maria Masci|Oliver He|Barry Smith,neoplasm vaccine|tumor vaccine,MeSH:D019496,,
2,VO:0000422,melanoma vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'melanoma'),,,,,,,,melanoma,,,,"A cancer vaccine that is used against melanoma, a malignant tumor of melanocytes.",,WEB: http://en.wikipedia.org/wiki/Melanoma,,,,,,Oliver He,,SNOMEDCT:373869007|UMLS_CUI:C0796561,,
3,VO:0005484,breast cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'breast cancer'),,,,,,,,breast cancer,,,,A cancer vaccine that is developed against breast cancer.,,,,,,,,Oliver He,,,,
4,VO:0005485,bladder cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'urinary bladder cancer'),,,,,,,,urinary bladder cancer,,,,A cancer vaccine that is developed against bladder cancer.,,,,,,,,Oliver He,,,,
5,VO:0005486,lung cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'lung cancer'),,,,,,,,lung cancer,,,,A cancer vaccine that is developed against lung cancer.,,,,,,,,Oliver He,,,,
6,VO:0005487,leukemia cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'leukemia'),,,,,,,,leukemia,,,,A cancer vaccine that is developed against leukemia.,,,,,,,,Oliver He,,,,
7,VO:0005488,cervical cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'cervical cancer'),,,,,,,,cervical cancer,,,,A cancer vaccine that is developed against cervical cancer.,,,,,,,,Oliver He,,,,
8,VO:0005489,colon cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'colon cancer'),,,,,,,,colon cancer,,,,A cancer vaccine that is developed against colon cancer.,,,,,,,,Oliver He,,,,
9,VO:0005490,gastric cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'stomach cancer'),,,,,,,,stomach cancer,,,,A cancer vaccine that is developed against gastric cancer,,,,,,,,Oliver He,,,,
10,VO:0005491,mesothelioma cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'mesothelioma'),,,,,,,,mesothelioma,,,,A cancer vaccine that is developed against mesothelioma cancer.,,,,,,,,Oliver He,,,,
11,VO:0005492,myeloma cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'multiple myeloma'),,,,,,,,multiple myeloma,,,,A cancer vaccine that is developed against myeloma cancer.,,,,,,,,Oliver He,,,,
12,VO:0005493,ovarian cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'ovarian cancer'),,,,,,,,ovarian cancer,,,,A cancer vaccine that is developed against ovarian cancer.,,,,,,,,Oliver He,,,,
13,VO:0005494,renal cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'kidney cancer'),,,,,,,,kidney cancer,,,,A cancer vaccine that is developed against renal cancer.,,,,,,,,Oliver He,,,,
14,VO:0005495,sarcoma cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'sarcoma'),,,,,,,,sarcoma,,,,A cancer vaccine that is developed against sarcoma cancer.,,,,,,,,Oliver He,,,,
