Num	Order	Ontology ID	LABEL	Vaccine Type	Cancer Type	Parent label	Parent	Gene names	NCBI GeneID	status of vaccine development	immunizes host	definition	PubMed (original)	PubMed	other link	VIOLIN ID	VIOLIN Link	GitHub tracker	NCI link	NCT link	Term editors	JZ notes
		ID	A rdfs:label				C %	A rdfs:comment	A NCBI GeneID SPLIT=|	A status of vaccine development	C 'immunizes host' some % SPLIT=|	A definition SPLIT=|		A definition source SPLIT=|	A definition source SPLIT=|	A VIOLIN vaccine ID	A definition source SPLIT=|	A term tracker item SPLIT=|	A definition source SPLIT=|	A definition source SPLIT=|	A term editor SPLIT=|	
1	13	VO:0007000	Oncolytic Adenovirus Encoding GM-CSF Vaccine	Recombinant vector vaccine	Bladder Cancer	bladder cancer vaccine	VO:0005485	Gene name: CSF-2	1437	Clinical trial	Homo sapiens|Mus musculus	"A recombinant oncolytic adenovirus encoding the immunohematopoietic cytokine granulocyte-macrophage colony stimulating factor (GM-CSF) with potential antineoplastic activity. Upon administration, the oncolytic adenovirus selectively infects and replicates in tumor cells, which may result in tumor cells lysis. Synergistically, GM-CSF (sargramostim) expressed by the oncolytic adenovirus may promote a cytotoxic T cell response against tumor cells harboring the oncolytic adenovirus, resulting in an immune-mediated tumor cell death."	PubMed:28530155	PubMed:28530155		5475	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5475	https://github.com/vaccineontology/VO/issues/75	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C48412	NCT: https://clinicaltrials.gov/ct2/show/NCT00109655	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
2	70	VO:0007001	Recombinant Adenovirus-Interferon/Syn3 Vaccine	Recombinant vector vaccine	Bladder Cancer	bladder cancer vaccine	VO:0005485	Gene name: IFNA2	3440	Clinical trial	Homo sapiens|Mus musculus	"A non-replicating recombinant adenovirus type 5 (Ad5)-vector encoding the gene for interferon alpha-2b (IFN_2b) and the gene transfer enhancement agent Syn 3, with potential antineoplastic activity. Upon intravesical administration, recombinant adenovirus-interferon with Syn3 transfects both cancerous and normal bladder cells, and the adenovirus secretes interferon (IFN_2b) into the bladder. IFN exerts a direct antitumor killing effect and a bystander effect, thereby killing adjacent, non-transfected cancerous bladder cells. Syn 3 enhances the ability of the adenoviral vector to transfect cells."	28834453	PubMed:28834453		5047	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5047	https://github.com/vaccineontology/VO/issues/322	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C104743	NCT: https://clinicaltrials.gov/ct2/show/NCT02773849	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
3	77	VO:0007002	Recombinant Fowlpox GM-CSF Vaccine Adjuvant	Recombinant vector vaccine	Bladder Cancer	bladder cancer vaccine	VO:0005485	Gene name: GM-CSF	1437	Clinical trial	Homo sapiens|Mus musculus	"A cancer vaccine adjuvant consisting of a recombinant fowlpox virus encoding human granulocyte-macrophage colony-stimulating factor (GM-CSF). GM-CSF binds to specific cell surface receptors on various immuno-hematopoietic cell types, enhancing their proliferation and differentiation and stimulating macrophage and dendritic cell functions in antigen presentation and antitumor cell-mediated immunity. Administration of recombinant fowlpox GM-CSF vaccine adjuvant may induce an immune response against tumor cells. Fowlpox virus is an attractive vector because its genome is easy to manipulate and it is replication incompetent in mammalian cells."	15780740	PubMed:15780740		4994	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=4994	https://github.com/vaccineontology/VO/issues/328	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2686	NCT: https://clinicaltrials.gov/ct2/show/NCT00072137	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
4	31	VO:0007003	PEP-CMV Vaccine	Peptide vaccine	Brain Cancer	brain cancer vacine	VO:0005428	Gene name: pp65(Lcp 1)	18826	Clinical trial	Homo sapiens|Mus musculus	A peptide vaccine derived from cytomegalovirus (CMV) antigens with potential immunostimulating activity. Intradermal administration of the PEP-CMV vaccine may stimulate the immune system to mount a specific helper and cytotoxic T-lymphocyte (CTL) response against CMV-infected tumor cells. Infection with the herpesvirus CMV may play a significant role in tumor cell initiation and progression as well as chemoresistance.	31806885	PubMed:31806885		5259	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5259	https://github.com/vaccineontology/VO/issues/118	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C107243	NCT: https://clinicaltrials.gov/ct2/show/NCT02864368	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
5	34	VO:0007004	PF-04948568 Vaccine	Peptide vaccine	Brain Cancer	brain cancer vacine	VO:0005428	Gene name: EGFR	1956	Clinical trial	Homo sapiens|Mus musculus	"A cancer vaccine consisting of a human epidermal growth factor receptor variant III (EGFRvIIi)-specific peptide conjugated to the non-specific immunomodulator keyhole limpet hemocyanin (KLH) with potential antineoplastic activity. Vaccination with rindopepimut may elicit a cytotoxic T-lymphocyte (CTL) immune response against tumor cells expressing EGFRvIII. EGFRvIII, a functional variant of EGFR that is not expressed in normal tissues, was originally discovered in glioblastoma multiforme (GBM) and has also been found in various other cancers such as breast, ovarian, metastatic prostate, colorectal, and head and neck cancers. EGFRvIII contains an 83 amino acid deletion in its extracellular domain and has been shown to transform NIH/3T3 mouse embryonic fibroblast cells in vitro."	28844499	PubMed:28844499		5032	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5032	https://github.com/vaccineontology/VO/issues/120	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C69076	NCT: https://clinicaltrials.gov/ct2/show/NCT01498328	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
6	72	VO:0007005	Recombinant Adenovirus-LacZ Vaccine	Recombinant vector vaccine	Brain Cancer	brain cancer vacine	VO:0005428	Gene name: lacZ	945006	Clinical trial	Homo sapiens|Mus musculus		21078216	PubMed:21078216		5192	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5192	https://github.com/vaccineontology/VO/issues/324	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C29786		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
7	129	VO:0007006	Synthetic Glioblastoma Mutated Tumor-specific Peptides Vaccine Therapy APVAC2	Peptide vaccine	Brain Cancer	brain cancer vacine	VO:0005428			Clinical trial	Homo sapiens	"A personalized peptide-based cancer vaccine comprised of one or two de novo synthesized patient-specific tumor-mutated peptides associated with glioblastoma (GB), with potential immunomodulating and antineoplastic activities. Vaccination with synthetic GB mutated tumor-specific peptides vaccine therapy APVAC2 stimulates the host immune system to mount a cytotoxic T-lymphocyte (CTL) response against tumor cells expressing the selected mutated tumor-associated peptides, which results in decreased GB growth. These peptides are specifically selected and synthesized based on the expression of the patient’s own mutated tumor-associated antigens, which were detected during individual tumor genome sequencing."				5086	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5086		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C116332	NCT: https://clinicaltrials.gov/ct2/show/NCT02149225	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
8	130	VO:0007007	Synthetic Glioblastoma Tumor-associated Peptides Vaccine Therapy APVAC1	Peptide vaccine	Brain Cancer	brain cancer vacine	VO:0005428	Gene name: EGFR	1956	Clinical trial	Homo sapiens	"A personalized peptide-based cancer vaccine comprised of five to ten peptides associated with glioblastoma (GB), with potential immunomodulating and antineoplastic activities. Vaccination with synthetic GB tumor-associated peptides vaccine therapy APVAC1 stimulates the host immune system to mount a cytotoxic T-lymphocyte (CTL) response against tumor cells expressing the tumor associated peptides, and results in decreased GB growth. The peptides are derived from a glioma actively-personalized vaccine consortium (GAPVAC) warehouse and are specifically selected based on the patient's expression of tumor-associated antigens."				5231	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5231		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C116331	NCT: https://clinicaltrials.gov/ct2/show/NCT02149225	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
9	164	VO:0007008	VEGFR-2 DNA Vaccine VXM01	DNA vaccine	Brain Cancer	brain cancer vacine	VO:0005428	Gene name: KDR	3791	Clinical trial	Homo sapiens	"An orally available DNA cancer vaccine containing an attenuated strain of the bacterium Salmonella typhimurium encoding murine vascular endothelial growth factor receptor 2 (VEGFR-2) (VXM01), with potential immunomodulating, anti-angiogenic and antineoplastic activity. Upon oral administration and successful transduction, VEGFR-2 DNA vaccine VXM01 expresses VEGFR-2 in addition to inducing the expression of T-cell activation markers, such as CD25, interleukin-2, the early T-cell activation antigen CD69 and the lymphocyte function-associated antigen LFA-2. The immune response targets the fast growing VEGFR-2 expressing endothelial cells found in the tumor vasculature, thereby blocking angiogenesis which may ultimately inhibit tumor cell proliferation. VEGFR-2 is a receptor tyrosine kinase overexpressed on proliferating endothelial cells in the tumor vasculature."	29632710	PubMed:29632710		5521	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5521		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C99378	NCT: https://clinicaltrials.gov/ct2/show/NCT02718443	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
