ID,LABEL,InSubset,Parent,alternative label,definition,definition source,term editor,comment,example of usage,has part,is about
ID,A rdfs:label,A http://www.geneontology.org/formats/oboInOwl#inSubset,C %,A alternative label SPLIT=|,A definition,A definition source SPLIT=|,A term editor SPLIT=|,A rdfs:comment SPLIT=|,A example of usage SPLIT=|,C 'has part' some % SPLIT=|,C 'is about' some % SPLIT=|
VO:0001197,animal age at vaccination in days,data item,age range at vaccination,,An age range at vaccination that represents the animal age (unit: day) at the time of vaccination.,"He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,,
VO:0004927,human age range at vaccination,data item,age range at vaccination,,,,"Anna Maria Masci, Anthony Huffman, Oliver He","The human age is classified into four categories as Child (0-12 years), Adolescence (13-18 years), Adult (19-59 years) and Senior Adult (60 years and above) which is discussed in the paper. Reference: https://ieeexplore.ieee.org/abstract/document/6416855.",,,
VO:0004895,female biological sex datum,data item,biological sex datum,,A biological sex datum that represents the biological sex of an animal (including human) as being female.,,"Paul Fabry, Oliver He",,"F' (intended to refer to a female biological sex), 'Female', 'Woman', '0' (intended to refer to a female biological sex)",,
VO:0004896,intersex biological sex datum,data item,biological sex datum,,A biological sex datum that represents the biological sex of an animal (including human) as being intersex.,,"Paul Fabry, Oliver He",,"I' (intended to refer to an intersex biological sex), 'Intersex', 'Hermaphrodite', 'Pseudo-hermaphrodite', '2' (intended to refer to an intersex biological sex)",,
VO:0000613,male biological sex datum,data item,biological sex datum,,A biological sex datum that represents the biological sex of an animal (including human) as being male.,,"Paul Fabry, Oliver He",,"M' (intended to refer to a male biological sex), 'Male', 'Man', '1' (intended to refer to a male biological sex)",,
VO:0001202,challenge dose (unit: CFU),data item,challenge dose,,A challenge dose that is represented with the unit of colony forming units (CFU).,"He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,,
VO:0001204,CFU per spleen,data item,colony forming unit,,A colony forming unit (CFU) from the sample of mouse spleen.,"He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,,
VO:0001186,vaccine investigation data set,data item,data set,,"A data set that represents a set of data for a list of variables (e.g., vaccination dose) for the data analysis of an vaccine investigation study.","He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,CFU per spleen|CFU reduction per spleen|animal age at vaccination in days|biological sex datum|challenge dose (unit: CFU)|mutated gene in vaccine strain datum|pathogen challenge datum|pathogen strain for challenge datum|vaccination dose (unit: CFU)|vaccination mouse strain datum|vaccination route datum|vaccination-challenge interval in days|vaccine adjuvant usage datum|vaccine protection efficacy datum|vaccine protective antigen datum|vaccine strain datum|vaccine viability datum,
VO:0000900,challenge dose,data item,dose,,A dose of a virulent pathogen used for a vaccine challenge process.,,YH,,,,
