ID,LABEL,new LABEL,InSubset,Parent,Equivalent Class,has role,in taxon,definition,definition source,term editor,alternative label,alternative ID,seeAlso,editor note,comment
ID,,A rdfs:label,A http://www.geneontology.org/formats/oboInOwl#inSubset,C %,EC %,C 'has role' some % SPLIT=|,C 'in taxon' some % SPLIT=|,A definition,A definition source SPLIT=|,A term editor SPLIT=|,A alternative label SPLIT=|,A http://www.geneontology.org/formats/oboInOwl#hasAlternativeId SPLIT=|,A rdfs:seeAlso SPLIT=|,A editor note SPLIT=|,A rdfs:comment SPLIT=|
VO:0000048,virmugen,virmugen,gene,gene,'has role' some 'virmugen role',virmugen role,,"A gene that once deleted, would make an attenuated microbe that can be used as a live attenuated vaccine against virulent pathogen.",,"YH, YL, ZX",,,,,
VO:0000154,sodC from B. abortus strain 2308,sodC from B. abortus strain 2308,gene,Brucella abortus gene,,protective antigen role|virmugen role,Brucella abortus 2308,A Brucella abortus gene that has the name sodC and comes from strain 2308. ,,YH,,,NCBI Gene GI: 3827840; NCBITaxon: 234,,"IMMUNOGENICITY: The SodC protein induces antigen-specific Th1 immune response, as indicated by the specific induction of serum IgG2a, but not IgG1, antibodies and by the secretion of IFN-alpha but not IL-4, by the Cu/Zn SOD-stimulated splenocytes. This gene has been used for vaccine development [PubMed: 10816475][PubMed: 11953393][PubMed: 12933826].    

MUTATION: An isogenic sodC mutant constructed from B abortus 2308 by gene replacement exhibited much greater susceptibility to killing by exogenous O(2)(-) than the parental 2308 strain, supporting a role for SodC in protecting this bacterium from O(2)(-) stress. The B abortus sodC mutant was much more sensitive to killing by cultured resident peritoneal macrophages from C57BL6J mice than 2308, and its attenuation in cultured murine macrophages was enhanced when these phagocytes were treated with gamma interferon. The attenuation of the B abortus sodC mutant in both resting and IFN-gamma-activated macrophages was alleviated in the presence of the NADPH oxidase inhibitor apocynin. Consistently, the B abortus sodC mutant also displayed significant attenuation in infected C57BL6J mice compared to the parental strain. These findings suggest that SodC protects B abortus 2308 from the respiratory burst of host macrophages [PubMed: 15845493]."
VO:0000156,viral gene,viral gene,gene,gene,,,,,,YH,,,,,
VO:0000157,HIV gene,HIV gene,gene,viral gene,,,,,,YH,,,,,
VO:0000161,Escherichia coli gene,Escherichia coli gene,gene,gene of Bacteria,,,,,,YH,E. coli gene,,,,
VO:0000164,Mycobacterium tuberculosis gene,Mycobacterium tuberculosis gene,gene,gene of Bacteria,,,Mycobacterium tuberculosis,,,YH,,,,,
VO:0000168,Salmonella gene,Salmonella gene,gene,gene of Bacteria,,,Salmonella,,,YH,,,,,
VO:0000169,Shigella gene,Shigella gene,gene,gene of Bacteria,,,Shigella,,,YH,,,,,
VO:0000170,protozoan gene,protozoan gene,gene,gene,,,,,,YH,,,,,
VO:0000171,Plasmodium gene,Plasmodium gene,gene,protozoan gene,,,,,,YH,,,,,
VO:0000172,Plasmodium falciparum gene,Plasmodium falciparum gene,gene,Plasmodium gene,,,,,,YH,,,,,
VO:0000174,Leishmania gene,Leishmania gene,gene,protozoan gene,,,,,,YH,,,,,
VO:0000183,Japanese encephalitis virus gene,Japanese encephalitis virus gene,gene,viral gene,,,,,,YH,,,,,
VO:0000184,Ebola virus gene,Ebola virus gene,gene,viral gene,,,,,,YH,,,,,
VO:0000185,Influenza virus gene,Influenza virus gene,gene,viral gene,,,,,,YH,,,,,
VO:0000188,Dengue virus gene,Dengue virus gene,gene,viral gene,,,,,,YH,,,,,
VO:0000198,chickenpox virus gene,chickenpox virus gene,gene,viral gene,,,,,,YH,,,,,
VO:0000199,Rubella virus gene,Rubella virus gene,gene,viral gene,,,,,,YH,,,,,
VO:0000202,Hepatitis A virus gene,Hepatitis A virus gene,gene,viral gene,,,,,,YH,,,,,
VO:0000581,H. influenzae gene,H. influenzae gene,gene,gene of Bacteria,,,,,,YH,,,,,
VO:0000583,nontypeable H. influenzae gene hel (encoding P4),nontypeable H. influenzae gene hel (encoding P4),gene,H. influenzae gene,,protective antigen role,,,,YH,,,,Encodes for protein P4,
VO:0000790,Brucella gene,Brucella gene,gene,gene of Bacteria,,,Brucella,,,YH,,,,,
VO:0000791,human gene,human gene,gene,gene,,,,,,YH,,,,,
VO:0000792,mouse gene,mouse gene,gene,gene,,,,,,YH,,,,,
VO:0000793,Brucella abortus gene,Brucella abortus gene,gene,Brucella gene,,,Brucella abortus,A Brucella gene that is from B. abortus.,,YH,,,,,
VO:0000794,wboA from B. abortus strain 2308,wboA from B. abortus strain 2308,gene,Brucella abortus gene,,virmugen role,Brucella abortus 2308,A Brucella abortus gene that has the name wboA and comes from strain 2308. ,,YH,,,,Brucella abortus gene wboA is interrupted in Brucella abortus cattle vaccine RB51.,
VO:0000795,mouse Ifng,mouse Ifng,gene,mouse gene,,,,,,YH,,,,Interferon-gamma (IFN-g) is an indicative of Th1 immune response. It is produced in host immunized by vaccines such as Brucella abortus cattle vaccine RB51.,
VO:0000796,human ifng,human ifng,gene,human gene,,,,,,YH,,,,Interferon-gamma (IFN-g) is an indicative of Th1 immune response.,
VO:0000797,cattle gene,cattle gene,gene,gene,,,,,,YH,,,,,
VO:0000798,cattle Ifng,Ifng from cattle,gene,cattle gene,,,,,,YH,,,,Interferon-gamma (IFN-g) is an indicative of Th1 immune response. It is produced in host immunized by vaccines such as Brucella abortus cattle vaccine RB51.,
