ID,LABEL,Parent,Parent (name),inSubset,Equivalent Class,realized in,has part,has quality,has role,characteristic of,is about,mentions,part of,realized in,axioms,definition,definition source,term editor,alternative label,editor note,comment,term tracker item
ID,A rdfs:label,C %,,A http://www.geneontology.org/formats/oboInOwl#inSubset,EC %,C 'realized in' some % SPLIT=|,C 'has part' some % SPLIT=|,C 'has quality' some % SPLIT=|,C 'has role' some % SPLIT=|,C 'characteristic of' some % SPLIT=|,C 'is about' some % SPLIT=|,C mentions some % SPLIT=|,C 'part of' some % SPLIT=|,C 'realized in' some % SPLIT=|,C %,A definition,A definition source SPLIT=|,A term editor SPLIT=|,A alternative label SPLIT=|,A editor note SPLIT=|,A rdfs:comment SPLIT=|,A term tracker item SPLIT=|
VO:0007653,HPV associated cancer,DOID:162,cancer,disposition,('cancer' and 'disease has basis in' some 'HPV infection'),,,,,,,,,,('disease has basis in' some 'HPV infection'),"A cancer that is caused by human papillomavirus (HPV) infection. HPV infection can lead to six types of cancer including anal, cervical, oropharyngeal, penile, vaginal, and vulvar cancer.",,Jie Zheng|Xingxian Li|Anna Maria Masci,,"placeholder, will send new term requst to DOID",,https://github.com/vaccineontology/VO/issues/677
VO:0000207,vaccine contraindication,OAE:0000055,contraindication,disposition,,,,,,,,,,,,A vaccine contraindication is a contraindication that increases the risks of a vaccination. ,,Oliver He,contraindication for vaccination,,,
VO:0000266,fungal disease,DOID:4,disease,disposition,,,,,,,,,,,,,,Oliver He,,,,
VO:0000713,vaccine allergen disposition,BFO:0000016,disposition,disposition,,,,,,,,,,,,,,Oliver He,,,,
VO:0000278,vaccine function,BFO:0000034,function,disposition,'preventive vaccine function' or 'therapeutic vaccine function',,,,,,,,,,,To induce or modify protective or therapeutic immune response against a disease.,,Oliver He|Melanie Courtot|Allen Xiang|Alan Ruttenburg|Barry Smith|Jie Zheng|Anna Maria Masci,,"PERSPN: Oliver He: There has been hot discussion about whether we use 'vaccine function' or 'vaccine role'. Vaccine role may not be the good term to use. Vaccine is designed to be 'vaccine', so it should be vaccine function. One special case is cowpox virus. The cowpox virus can be mixed with some liquid like water and used as a smallpox vaccine. In this case, people often say: the cowpox virus has a 'vaccine role'. However, the cowpox virus vaccine is a processed material of a mix of the virus with water. The virus is a virus, it is not a vaccine per se. Therefore, vaccine role may not be an accurate term.",,
VO:0000225,hypersensitivity to neomycin,VO:0000224,hypersensitivity to antibiotic,disposition,,,,,,,,,,,,,,Oliver He,,,,
VO:0000226,hypersensitivity to polymyxin,VO:0000224,hypersensitivity to antibiotic,disposition,,,,,,,,,,,,,,Oliver He,,,,
VO:0000237,hypersensitivity to gentamicin,VO:0000224,hypersensitivity to antibiotic,disposition,,,,,,,,,,,,,,Oliver He,,,,
VO:0000218,hypersensitivity to chicken egg,VO:0000213,hypersensitivity to chicken product,disposition,,,,,,,,,,,,,,Oliver He,,,,
VO:0000235,life-threatening reaction to previous influenza vaccination,VO:0000233,life-threatening reaction to previous vaccination,disposition,,,,,,,,,,,,,,Oliver He,,,,
VO:0000499,preventive infectious disease vaccine function,VO:0000452,preventive vaccine function,disposition,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0000233,life-threatening reaction to previous vaccination,VO:0000227,reaction to previous vaccination,disposition,,,,,,,,,,,,,,Oliver He,,,,
VO:0000213,hypersensitivity to chicken product,VO:0000207,vaccine contraindication,disposition,,,,,,,,,,,,,,Oliver He,,,,
VO:0000224,hypersensitivity to antibiotic,VO:0000207,vaccine contraindication,disposition,,,,,,,,,,,,,,Oliver He,,,,
VO:0000227,reaction to previous vaccination,VO:0000207,vaccine contraindication,disposition,,,,,,,,,,,,,,Oliver He,,,,
VO:0000240,hypersensitity to gelatin,VO:0000207,vaccine contraindication,disposition,,,,,,,,,,,,,,Oliver He,,,,
VO:0000244,hypersensitity to arginine,VO:0000207,vaccine contraindication,disposition,,,,,,,,,,,,,,Oliver He,,"Arginine is a conditionally essential amino acid, meaning most of the time it can be manufactured by the human body, and does not need to be obtained directly through the diet. The biosynthetic pathway however does not produce sufficient arginine, and some must still be consumed through diet. Individuals who have poor nutrition or certain physical conditions may be advised to increase their intake of foods containing arginine. Infants are unable to meet their requirements and thus arginine is nutritionally essential for infants.",,
