ID,LABEL,inSubset,Parent,Equivalent Class,achieves_planned_objective,has part,has participant,has_specified_input,has_specified_output,induced by vaccination of,occurs in,part of,preceded by,realizes,definition,definition source,term editor,alternative ID,alternative label,seeAlso,editor note,example of usage,comment
ID,A rdfs:label,A http://www.geneontology.org/formats/oboInOwl#inSubset,C %,EC %,C achieves_planned_objective some % SPLIT=|,C 'has part' some % SPLIT=|,C 'has participant' some % SPLIT=|,C has_specified_input some % SPLIT=|,C has_specified_output some % SPLIT=|,C 'induced by vaccination of' some % SPLIT=|,C 'occurs in' some % SPLIT=|,C 'part of' some % SPLIT=|,C 'preceded by' some % SPLIT=|,C realizes some % SPLIT=|,A definition,A definition source SPLIT=|,A term editor SPLIT=|,A http://www.geneontology.org/formats/oboInOwl#hasAlternativeId SPLIT=|,A alternative label SPLIT=|,A rdfs:seeAlso SPLIT=|,A editor note SPLIT=|,A example of usage SPLIT=|,A rdfs:comment SPLIT=|
VO:0000591,vaccine protection assay,assay,assay,,,pathogen challenge|vaccination|vaccine protection efficacy measurement,,,,,,,,,An assay that is used to detect if a vaccine protects a host against infection of virulent pathogen after vaccine immunization.,,YH,,vaccine challenge experiment,,,,
VO:0000442,CFU measurement assay,assay,assay,,,,,,colony forming unit,,,,,,"CFU measurement assay is an assay that measures the colony forming unit (CFU) of a bacterium in a specific location (e.g., spleen of a mouse).",,"YH, MC",,,,,,
VO:0000242,CFU reduction assay,assay,assay,,,,,,,,,,,,CFU reduction assay is an assay that measures the reduction of the colony forming units of infected pathogens in vaccine-vaccinated animals compared to nonvaccinated animals.,,YH,,,,,,
VO:0000955,host survival to pathogen challenge after vaccination,assay,assay,,,,,,,,,,,,,,,,,,,,
VO:0000584,immune response detection assay,assay,assay,,,,,,,,,,,,An assay that is used to detect the immune response of a host to vaccination of a vaccine.,,YH,,,,,,
VO:0000038,vaccine persistence assay,assay,assay,,,,,,,,,,,,An assay that measures the persistent survival of live vaccine in a host in vivo.,,YH,,,,,,
VO:0001209,vaccine protection efficacy measurement,assay,assay,,,,,,,,,,,,vaccine protection efficacy measurement is an assay that measures the protection efficayc of a vaccine.,,YH,,,,,,
VO:0001132,assay of CFU reduction in liver,assay,CFU reduction assay,,,,,,,,,,,,assay of CFU reduction in liver is a CFU reduction assay that is measured using the extracted liver as the tissue for isolation of infected pathogens.,,YH,,,,,,
VO:0001133,assay of CFU reduction in lung,assay,CFU reduction assay,,,,,,,,,,,,assay of CFU reduction in lung is a CFU reduction assay that is measured using the extracted lung as the tissue for isolation of infected pathogens.,,YH,,,,,,
