ID,LABEL,InSubset,Parent,has part,has role,in taxon,definition,definition source,term editor,alternative label,seeAlso,editor note,comment,comment
ID,A rdfs:label,A http://www.geneontology.org/formats/oboInOwl#inSubset,C %,C 'has part' some % SPLIT=|,C 'has role' some % SPLIT=|,C 'in taxon' some % SPLIT=|,A definition,A definition source SPLIT=|,A term editor SPLIT=|,A alternative label SPLIT=|,A rdfs:seeAlso SPLIT=|,A editor note SPLIT=|,A rdfs:comment SPLIT=|,
VO:0000516,human protein,protein,protein,,,,a protein from human,,Oliver He,,,,,
VO:0000519,human ACPP,protein,human protein,,protective antigen role,,,,Oliver He,,GenBank: AC020633; Protein RefSeq: NP_001090,,,
VO:0003028,human serum albumin,protein,human protein,,,,the serum albumin that is part of human,,Asiyah Yu Lin,,UniProtKB:P02768,it is subclass of 'serum albumin (PR:000003918)',,
VO:0003801,Varicella zoster virus glycoprotein E,protein,Varicella-zoster virus protein,,,,,http://purl.bioontology.org/ontology/RXNORM/1986821,Kallan Roan|Oliver He,,,,"CUI: C0061673|RXAUI: 9698276|TUI: T116, T129, T121",RxNorm
VO:0003802,"Varicella zoster virus glycoprotein E, recombinant",protein,Varicella zoster virus glycoprotein E,,,,,http://purl.bioontology.org/ontology/RXNORM/1986820,Kallan Roan|Oliver He,,,,"CUI: C4530095|RXAUI: 9698275|TUI: T116, T129, T121",RxNorm not in OMOP
VO:0004906,MERS-CoV protein,protein,virus protein,,,,,,,,,,,
VO:0004907,MERS-CoV S protein,protein,MERS-CoV protein,,,,,,,,,,,
VO:0004988,SARS-CoV-2 protein,protein,virus protein,,,,,,Oliver He|Philip Huang,,,,,
VO:0004990,E protein of SARS-CoV-2,protein,SARS-CoV-2 protein,,,,,,,,,,,
VO:0005477,Giardia spp. protein,protein,parasite protein,,,,,,Anthony Huffman,,,,,
VO:0005501,Plasmodium falciparum MSA2,protein,Plasmodium falciparum protein,,,Plasmodium falciparum merozoite,,,Anthony Huffman,,,,,
VO:0010000,Cp12 from Crptosporidium parvum,protein,Cryptosporidium parvum protein,,protective antigen role,,A Cp12 protein that is part of Crptosporidium parvum,,Anthony Huffman,,,,,
VO:0010001,Cp21 from Crptosporidium parvum,protein,Cryptosporidium parvum protein,,protective antigen role,,A Cp21 protein that is part of Crptosporidium parvum,,Anthony Huffman,,,,,
