ID,LABEL,inSubset,Category,comment,Parent,Parent (name),Equivalent Class,has drug brand name,has drug dose form,alternative label,definition,definition source,term editor,editor note,term tracker item,comment,hasDbXref,NCBI GeneID,Gene names,trade name,immunizes recipient,violin_host,lab animal,violin_animal,status of vaccine development,immunizes against disease,immunizes against pathogen,violin_pathogen,is_manufactured_by,is_manufactured_by (name),has flu season,vaccine type,violin_vaccine_type,has part,has component,has gene mutation,has vaccine allergen,has function,expresses,vaccinated in route,has drug package,associated axioms,has drug supplier,has quantity,has_component,has drug strength
ID,A rdfs:label,A http://www.geneontology.org/formats/oboInOwl#inSubset,,,C % SPLIT=|,,EC %,C 'has drug brand name' value % SPLIT=|,C 'has drug dose form' some %,A alternative label SPLIT=|,A definition,A definition source SPLIT=|,A term editor SPLIT=|,A editor note SPLIT=|,A term tracker item SPLIT=|,A rdfs:comment SPLIT=|,A http://www.geneontology.org/formats/oboInOwl#hasDbXref SPLIT=|,A NCBI GeneID SPLIT=|,A rdfs:comment SPLIT=|,A trade name SPLIT=|,C 'immunizes recipient' some % SPLIT=|,,C 'test in lab animal model' some % SPLIT=|,,C 'has role' some % SPLIT=|,C 'immunizes against disease' some % SPLIT=|,C 'immunizes against pathogen' some % SPLIT=|,,C is_manufactured_by value % SPLIT=|,,C 'has flu season' value % SPLIT=|,C 'has role' some % SPLIT=|,,C 'has part' some % SPLIT=|,C 'has component' some % SPLIT=|,C 'has gene mutation' some % SPLIT=|,C 'has vaccine allergen' some % SPLIT=|,C 'has function' some % SPLIT=|,C expresses some % SPLIT=|,C 'vaccinated in route' some % SPLIT=|,C 'has drug package' value %,C % SPLIT=|,,,,
VO:0000001,vaccine,vaccine,category,,OBI:0000047,,('processed material') and ('has function' some 'vaccine function'),,,,Material entity that is manufactured to realize the vaccine function.,,Oliver He|Bjoern Peters|Melanie Courtot|Lindsay Cowell|Allen Xiang|Ronak Sutariya|Barry Smith|Jie Zheng|Anna Maria Masci,"Many vaccines are developed to protect against infectious pathogens that causes infectious diseases. Many vaccines are also being developed against other diseases such as cancer, allergy, and autoimmune diseases.",,,MeSH: D014612,,,,,,,,,,,,,,,,,,,,,('vaccine function' and ('realized in' some 'vaccine immunization')),,,,('is_specified_input_of' some 'vaccine preparation'),,,,
VO:0000003,ACAM2000 vaccine,vaccine,VIOLIN,RxNorm not in OMOP|FDA|VIOLIN,VO:0000433,vaccinia virus vaccine,('vaccinia virus vaccine' and 'has drug brand name' value 'ACAM2000'),ACAM2000,,,,http://purl.bioontology.org/ontology/RXNORM/833083|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm180810.htm,Kallan Roan|Oliver He,,,,,,,ACAM2000,Homo sapiens,Homo sapiens,,,FDA licensed vaccine role,smallpox,Variola virus,Variola virus,VO:0000686|VO:0005568,"Acambis, Inc|Emergent Product Development Gaithersburg, Inc.",,live attenuated vaccine role|vaccine monovalent role,Replication competent virus,,smallpox vaccine live vaccinia virus,,,preventive vaccine function,,percutaneous route,,,,,,
VO:0000004,ActHIB vaccine,vaccine,VIOLIN,FDA|VIOLIN,VO:0000662,Haemophilus influenzae serotype b vaccine,('Haemophilus influenzae serotype b vaccine' and 'has drug brand name' value 'ActHIB'),ActHIB,,,,https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm174743.htm|PMID:1517908|PMID:1735812,Kallan Roan|Oliver He,"Preparation: The vaccine consists of the Haemophilus b capsular polysaccharide (polyribosyl-ribitol-phosphate, PRP), a high molecular weight polymer prepared from the Haemophilus influenzae  type b (HiB) strain 1482 grown in a semi-synthetic medium, covalently bound to tetanus toxoid. The tetanus toxoid is prepared by extraction, ammonium sulfate purification, and formalin inactivation of the toxin from cultures of Clostridium tetani (Harvard strain) grown in a modified Mueller and Miller medium. The toxoid is filter sterilized prior to the conjugation process. When ActHIB vaccine is reconstituted with saline diluent, each single dose of 0.5 mL is formulated to contain 10 mu g of purified capsular polysaccharide conjugated to 24 mu g of inactivated tetanus toxoid, and 8.5% of sucrose (ActHIB 2005). 
Reference: http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=157&keywords=",,,,,,ActHIB,Homo sapiens,Homo sapiens,,,Canada licensed vaccine role|FDA licensed vaccine role,haemophilus meningitis,Haemophilus influenzae serotype b,Haemophilus influenzae,VO:0000703,"Sanofi Pasteur, SA",,conjugate vaccine role|vaccine monovalent role,Conjugate vaccine,,capsular polysaccharide of pathogen organism as vaccine component|vaccine conjugate protein,,,preventive vaccine function,,intramuscular route,,,,,,
VO:0000005,Adacel vaccine,vaccine,VIOLIN,RxNorm not in OMOP|FDA|VIOLIN,VO:0000738,Diphtheria-Tetanus-Pertussis vaccine,('Diphtheria-Tetanus-Pertussis vaccine' and 'has drug brand name' value 'Adacel'),Adacel,,,,http://purl.bioontology.org/ontology/RXNORM/605718|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm172481.htm,Kallan Roan|Oliver He,,,,,,,Adacel,Homo sapiens,Homo sapiens,,,Canada licensed vaccine role|FDA licensed vaccine role,diphtheria|tetanus|pertussis,Corynebacterium diphtheriae|Clostridium tetani|Bordetella pertussis,Corynebacterium diphtheriae|Clostridium tetani|Bordetella pertussis,VO:0000699,Sanofi Pasteur Limited,,inactivated vaccine role|toxoid vaccine role|combination vaccine role|vaccine monovalent role,Toxoid vaccine,,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated|Bordetella pertussis fimbriae 2/3 vaccine, inactivated|Bordetella pertussis pertactin vaccine, inactivated|Bordetella pertussis toxoid vaccine, inactivated|diphtheria toxoid vaccine, inactivated|tetanus toxoid vaccine, inactivated",,,preventive vaccine function,,,,,,,,
VO:0000006,Afluria vaccine,vaccine,VIOLIN,RxNorm Extension not in OMOP|FDA|VIOLIN,VO:0001236,trivalent influenza vaccine,('trivalent influenza vaccine' and 'has drug brand name' value 'Afluria'),Afluria,,,,WEB: http://www.cdc.gov/vaccines/pubs/pinkbook/downloads/appendices/B/excipient-table-2.pdf|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm094043.htm,Kallan Roan|Oliver He,,,,,,,AFLURIA,Homo sapiens,Homo sapiens,,,FDA licensed vaccine role,influenza,Influenza A virus|Influenza B virus,Influenza virus,VO:0000689|VO:0005570,Seqirus Pty. Ltd,,inactivated vaccine role|vaccine multivalent role,Inactivated or killed vaccine,,,,chicken egg protein allergen|neomycin,preventive vaccine function,,intramuscular route,,,,,,
VO:0000007,Attenuvax vaccine,vaccine,add,,VO:0000654,Measles virus vaccine,('Measles virus vaccine' and 'has drug brand name' value 'Attenuvax'),Attenuvax,,,,,Oliver He,,,"Product Name: Measles Virus Vaccine, Live",,,,Attenuvax,Homo sapiens,,,,FDA licensed vaccine role,measles,Measles morbillivirus,,VO:0000695,"Merck & Co., Inc.",,live attenuated vaccine role,,,,,,preventive vaccine function,,,,,,,,
VO:0000013,Bacillus anthracis vaccine,vaccine,category,,VO:0000165,bacterial vaccine,('vaccine' and 'immunizes against pathogen' some 'Bacillus anthracis'),,,anthrax vaccine,A vaccine that protects against Bacillus anthrax that causes anthrax.,,Oliver He,,,,MeSH: D022122,,,,,,,,,anthrax disease,Bacillus anthracis,,,,,,,,,,,,,,,,,,,
VO:0000014,Biothrax vaccine,vaccine,VIOLIN,RxNorm not in OMOP|FDA|VIOLIN,VO:0000013,Bacillus anthracis vaccine,('Bacillus anthracis vaccine' and 'has drug brand name' value 'Biothrax'),Biothrax,,,,http://purl.bioontology.org/ontology/RXNORM/404894|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm133822.htm,Kallan Roan|Oliver He,,,,,,,Biothrax,Homo sapiens,Homo sapiens,,,FDA licensed vaccine role,anthrax disease,Bacillus anthracis,Bacillus anthracis,VO:0000688|VO:0005567,BioPort Corp|Emergent BioDefense Operations Lansing LLC,,inactivated vaccine role|vaccine monovalent role,Subunit vaccine,,BACILLUS ANTHRACIS STRAIN V770-NP1-R ANTIGENS|protein of pathogen organism as vaccine component,,,preventive vaccine function,,intramuscular route,,,,,,
VO:0000015,Boostrix vaccine,vaccine,VIOLIN,RxNorm not in OMOP|FDA|VIOLIN,VO:0000738,Diphtheria-Tetanus-Pertussis vaccine,('Diphtheria-Tetanus-Pertussis vaccine' and 'has drug brand name' value 'Boostrix'),Boostrix,,,,http://purl.bioontology.org/ontology/RXNORM/583411|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm172925.htm,Kallan Roan|Oliver He,,,,,,,Boostrix,Homo sapiens,Homo sapiens,,,Canada licensed vaccine role|FDA licensed vaccine role,diphtheria|tetanus|pertussis,Corynebacterium diphtheriae|Clostridium tetani|Bordetella pertussis,Corynebacterium diphtheriae|Clostridium tetani|Bordetella pertussis,VO:0000690,GlaxoSmithKline plc,,inactivated vaccine role|toxoid vaccine role|combination vaccine role|vaccine monovalent role,Toxoid vaccine,,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated|Bordetella pertussis pertactin vaccine, inactivated|Bordetella pertussis toxoid vaccine, inactivated|diphtheria toxoid vaccine, inactivated|tetanus toxoid vaccine, inactivated",,,preventive vaccine function,,,,,,,,
