ID,LABEL,inSubset,Parent,Parent (name),Equivalent Class,alternative label,term editor,Comment,immunizes host,immunizes against pathogen,has role,has component,has quality,has drug brand name,has drug dose form,has drug package,has drug supplier,has quantity,has component,has drug strength,JZ comment
ID,A rdfs:label,A http://www.geneontology.org/formats/oboInOwl#inSubset,C % SPLIT=|,,EC %,A alternative label SPLIT=|,A term editor SPLIT=|,,C 'immunizes host' some % SPLIT=|,C 'immunizes against pathogen' some % SPLIT=|,C 'has role' some % SPLIT=|,C 'has component' some % SPLIT=|,C 'has quality' some % SPLIT=|,C 'has drug brand name' value % SPLIT=|,C 'has drug dose form' some %,C 'has drug package' value %,,,,,
VO:0000052,Havrix vaccine,vaccine,VO:0000646,Hepatitis A virus vaccine,('Hepatitis A virus vaccine') and ('has drug brand name' value 'Havrix'),Havrix,OHDSI Vaccine WG,RxNorm not in OMOP,Homo sapiens,Hepatovirus A,Canada licensed vaccine role|USA licensed vaccine role,,,Havrix,,,,,,,
VO:0003236,Hepatyrix vaccine,vaccine,VO:0003229,Hepatitis A virus-Typhoid vaccine,('Hepatitis A virus-Typhoid vaccine') and ('has drug brand name' value 'Hepatyrix'),Hepatyrix,"Kallan Roan, Oliver He",,Homo sapiens,Hepatovirus A|Salmonella enterica subsp. enterica serovar Typhi,combination vaccine role|licensed vaccine role,,,Hepatyrix,,,,,,,
VO:0003463,"1 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Prefilled Syringe [Vaqta]",vaccine,VO:0003465,"Hepatitis A Vaccine, Inactivated Prefilled Syringe [Vaqta]",,,OHDSI Vaccine WG,RxNorm,Homo sapiens,Hepatovirus A,licensed vaccine role,,,Vaqta,prefilled syringe,,,,,,
VO:0003465,"Hepatitis A Vaccine, Inactivated Prefilled Syringe [Vaqta]",vaccine,VO:0010745,Vaqta vaccine,,,OHDSI Vaccine WG,RxNorm not in OMOP,Homo sapiens,Hepatovirus A,licensed vaccine role,,,Vaqta,prefilled syringe,,,,,,
VO:0003826,Havrix Injectable Product,vaccine,VO:0000052,Havrix vaccine,,,OHDSI Vaccine WG,RxNorm not in OMOP,Homo sapiens,Hepatovirus A,licensed vaccine role,,,Havrix,injectable product,,,,,,
VO:0003827,Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML [Havrix],vaccine,VO:0003826,Havrix Injectable Product,,,OHDSI Vaccine WG,RxNorm,Homo sapiens,Hepatovirus A,licensed vaccine role,,,Havrix,,,,,,,
VO:0003828,Havrix pediatric/adolescent vaccine 720 UNT in 0.5 ML Injection,vaccine,VO:0003830,Havrix Injection,,,OHDSI Vaccine WG,RxNorm,Homo sapiens,Hepatovirus A,licensed vaccine role,,,Havrix,injection form,,,,,,
VO:0003829,Havrix adult vaccine 1440 UNT in 1 ML Injection,vaccine,VO:0003830,Havrix Injection,,,OHDSI Vaccine WG,RxNorm,Homo sapiens,Hepatovirus A,licensed vaccine role,,,Havrix,injection form,,,,,,
VO:0003830,Havrix Injection,vaccine,VO:0003826,Havrix Injectable Product,,,OHDSI Vaccine WG,RxNorm,Homo sapiens,Hepatovirus A,licensed vaccine role,,,Havrix,injection form,,,,,,
VO:0003831,"Havrix, Hepatitis A Vaccine (Inactivated), (Pediatric Dose) 0.5 ML Prefilled Syringe",vaccine,VO:0003833,Havrix Prefilled Syringe,,,OHDSI Vaccine WG,RxNorm,Homo sapiens,Hepatovirus A,licensed vaccine role,,,Havrix,prefilled syringe,,,,,,
VO:0003832,"Havrix, Hepatitis A Vaccine (Inactivated), (Adult Dose) 1 ML Prefilled Syringe",vaccine,VO:0003833,Havrix Prefilled Syringe,,,OHDSI Vaccine WG,RxNorm,Homo sapiens,Hepatovirus A,licensed vaccine role,,,Havrix,prefilled syringe,,,,,,
VO:0003833,Havrix Prefilled Syringe,vaccine,VO:0003826,Havrix Injectable Product,,,OHDSI Vaccine WG,RxNorm,Homo sapiens,Hepatovirus A,licensed vaccine role,,,Havrix,prefilled syringe,,,,,,
VO:0010713,Epaxal vaccine,vaccine,VO:0000646,Hepatitis A virus vaccine,('Hepatitis A virus vaccine') and ('has drug brand name' value 'Epaxal'),Epaxal,"YH, ZX",,Homo sapiens,Hepatovirus A,Canada licensed vaccine role,,,Epaxal,,,,,,,
VO:0010745,Vaqta vaccine,vaccine,VO:0000646,Hepatitis A virus vaccine,('Hepatitis A virus vaccine') and ('has drug brand name' value 'Vaqta'),Vaqta,"Kallan Roan, Oliver He, ZX",,Homo sapiens,Hepatovirus A,Canada licensed vaccine role|USA licensed vaccine role,,,Vaqta,,,,,,,
VO:0010748,Vivaxim vaccine,vaccine,VO:0000950,Salmonella typhi-Hepatitis A vaccine,('Salmonella typhi-Hepatitis A vaccine') and ('has drug brand name' value 'Vivaxim'),Vivaxim,"YH, ZX",,Homo sapiens,Hepatovirus A|Salmonella enterica subsp. enterica serovar Typhi,Canada licensed vaccine role,,,Vivaxim,,,,,,,
VO:0015087,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 100 UNT/ML Prefilled Syringe,vaccine,VO:0015243,Hepatitis A Vaccine (Inactivated) Strain HM175 100 UNT/ML,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,,prefilled syringe,,,0.5 ML,,100 UNT/ML,
VO:0015088,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 100 UNT/ML Prefilled Syringe [Vaqta],vaccine,VO:0015087,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 100 UNT/ML Prefilled Syringe,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Vaqta,prefilled syringe,,,0.5 ML,,100 UNT/ML,
VO:0015089,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 100 UNT/ML Prefilled Syringe [Vaqta] Box of 1,vaccine,VO:0015088,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 100 UNT/ML Prefilled Syringe [Vaqta],,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Vaqta,prefilled syringe,Box of 1,,0.5 ML,,100 UNT/ML,
VO:0015090,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 100 UNT/ML Prefilled Syringe [Vaqta] Box of 1 by Eurim-Pharm,vaccine,VO:0015089,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 100 UNT/ML Prefilled Syringe [Vaqta] Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Vaqta,prefilled syringe,Box of 1,Eurim-Pharm,0.5 ML,,100 UNT/ML,
