ID,LABEL,inSubset,Comment,Parent,alternative label,definition,definition source,term editor,editor note,term tracker item,target receptor,induces immune profile,derives from,equivalent axioms,,,,,
ID,A rdfs:label,A http://www.geneontology.org/formats/oboInOwl#inSubset,,C %,A alternative label SPLIT=|,A definition SPLIT=|,A definition source SPLIT=|,A term editor SPLIT=|,A editor note SPLIT=|,A term tracker item SPLIT=|,C 'target receptor' some % SPLIT=|,C 'induces immune profile' some % SPLIT=|,C 'derives from' some % SPLIT=|,EC %,,,,,
VO:0000093,mineral salt vaccine adjuvant,vaccine adjuvant,category,vaccine adjuvant,,A vaccine adjuvant that is formed as a mineral salt.,,Samantha G. Sayers|Oliver He,,,,,,,,,,,
VO:0000118,microbial derivative vaccine adjuvant,vaccine adjuvant,category,vaccine adjuvant,,A vaccine adjuvant that contains microbial derived material.,,Oliver He|Samantha G. Sayers,,,,,,,,,,,
VO:0000127,aluminum hydroxide vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,aluminum vaccine adjuvant,alum,An aluminum vaccine adjuvant that contains aluminum hydroxide.,,Oliver He,,,,Th2-biased immune profile,,,,,,,
VO:0000128,aluminum phosphate vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,aluminum vaccine adjuvant,Adju-Phos®|Al(PO)4,An aluminum vaccine adjuvant that is aluminum phosphate.,,Oliver He|Samantha G. Sayers,,,,Th2-biased immune profile,,,,,,,
VO:0000131,calcium phosphate vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,mineral salt vaccine adjuvant,CaHPO4,A mineral salt vaccine adjuvant composed of calcium phosphate.,,Oliver He|Samantha G. Sayers,,,,Th2-biased immune profile,,,,,,,
VO:0000133,Freund's emulsified oil adjuvant,vaccine adjuvant,category,emulsion vaccine adjuvant,,"An emulsion vaccine adjuvant that consists of a water-in-oil emulsion of aqueous antigen in paraffin (mineral) oil of low specific gravity and low viscosity. It is named after Jules T. Freund (1890-1960), Hungarian-born American immunologist. It is a water in oil emulsion.",,Oliver He|Samantha G. Sayers,,,,,,,,,,,
VO:0000139,complete Freund's adjuvant,vaccine adjuvant,Vaxjo 1.0,Freund's emulsified oil adjuvant,Freund's Complete Adjuvant,"A Freund's emulsified oil adjuvant that contains inactivated and dried mycobacteria, usually Mycobacterium tuberculosis (the pathogenic agent of tuberculosis).",,Oliver He,,,Toll-like receptor 2 | Toll-like receptor 4,Th1-biased immune profile,,,,,,,
VO:0000142,incomplete Freund's adjuvant,vaccine adjuvant,Vaxjo 1.0,Freund's emulsified oil adjuvant,Freund's Incomplete Adjuvant,A Freund's emulsified oil adjuvant that does not contain the mycobacterial components.,,Oliver He,,,,Th2-biased immune profile,,,,,,,
VO:0000143,cholera toxin vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,microbial derivative vaccine adjuvant,CT|cholera toxin,A microbial derivative vaccine adjuvant consisting of cholera toxin (CT) from Vibrio cholerae.,,Oliver He|Samantha G. Sayers,,,,Th1/Th2/Th17 mixed immune profile,,,,,,,
