ID,LABEL,inSubset,Parent,alternative label,definition,definition source,term editor,seeAlso,editor note,VAC adjuvant ID,term tracker item,has molecular receptor,has role,induces immune profile,derives from,equivalent axioms
ID,Rdfs:label,A http://www.geneontology.org/formats/oboInOwl#inSubset,C %,A alternative label SPLIT=|,Definition split=|,A definition source SPLIT=|,A term editor SPLIT=|,A rdfs:seeAlso SPLIT=|,A editor note SPLIT=|,A 'VAC adjuvant ID',A term tracker item SPLIT=|,C 'has molecular receptor' some % SPLIT=|,C 'has role' some % SPLIT=|,C 'induces immune profile' some % SPLIT=|,C 'derives from' some % SPLIT=|,EC %
VO:0000093,Mineral salt vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,,Vaccine adjuvant that is formed as a mineral salt.,,Samantha G. Sayers|Oliver He,,,,,,,,,
VO:0000118,Microbial derivative vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,,Vaccine adjuvant that contains microbial derived material.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0000127,Aluminum hydroxide vaccine adjuvant,vaccine adjuvant,aluminum vaccine adjuvant,alum,Aluminum vaccine adjuvant that contains aluminum hydroxide.,,Oliver He,,,,,,,,,
VO:0000128,Aluminum phosphate vaccine adjuvant,vaccine adjuvant,aluminum vaccine adjuvant,Adju-Phos®|Al(PO)4,Aluminum vaccine adjuvant that is aluminum phosphate.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0000131,Calcium phosphate vaccine adjuvant,vaccine adjuvant,mineral salt vaccine adjuvant,CaHPO4,Mineral salt vaccine adjuvant composed of calcium phosphate.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0000133,Freund's emulsified oil adjuvant,vaccine adjuvant,emulsion vaccine adjuvant,,"Emulsion vaccine adjuvant that consists of a water-in-oil emulsion of aqueous antigen in paraffin (mineral) oil of low specific gravity and low viscosity. it is named after jules t. freund (1890-1960), hungarian-born american immunologist. it is a water in oil emulsion.",,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0000139,Complete freund's adjuvant,vaccine adjuvant,Freund's emulsified oil adjuvant,,"Freund's emulsified oil adjuvant that contains inactivated and dried mycobacteria, usually mycobacterium tuberculosis (the pathogenic agent of tuberculosis).",,Oliver He,,,,,,,,,
VO:0000142,Incomplete freund's adjuvant,vaccine adjuvant,Freund's emulsified oil adjuvant,,Freund's emulsified oil adjuvant that does not contain the mycobacterial components.,,Oliver He,,,,,,,,,
VO:0000143,Cholera toxin vaccine adjuvant,vaccine adjuvant,microbial derivative vaccine adjuvant,CT|cholera toxin,Microbial derivative vaccine adjuvant consisting of cholera toxin (ct) from vibrio cholerae.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0000146,Corynebacterium-derived p40 vaccine adjuvant,vaccine adjuvant,microbial derivative vaccine adjuvant,,Microbial derivative vaccine adjuvant that is the p40 particulate fraction isolated from corynebacterium.,PMID:8447157,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0000181,Lipopolysaccharide vaccine adjuvant,vaccine adjuvant,microbial derivative vaccine adjuvant,LPS vaccine adjuvant,Microbial derivative vaccine adjuvant made from bacterial lipopolysaccharide (lps) of gram-negative bacteria.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0000187,Muramyl dipeptide vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,MDP|muramyl dipeptide,Synthetic vaccine adjuvant formulated to correspond to a component found in a water-soluble extract of cell walls of mycobacteria used in complete freund's adjuvant (cfa).,PMID:344799,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0000190,Squalene vacccine adjuvant,vaccine adjuvant,emulsion vaccine adjuvant,squalene,Emulsion vaccine adjuvant that contains an organic polymer with some antigenic epitopes which might be shared with other organic polymers acting as immunostimulators.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0000191,Arlacel a vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,arlacel A,Synthetic vaccine adjuvant that is an emulsifier called arlacel a.,PMID:2042393,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0000192,Montanide 103 vaccine adjuvant,vaccine adjuvant,Montanide vaccine adjuvant,Montanide 103,Montanide vaccine adjuvant that is montanide 103.,,Oliver He,,,,,,,,,
