ID,LABEL,vaccine STN,FDA vaccine indications,vaccine package insert PDF URL
ID,,A vaccine STN SPLIT=|,A FDA vaccine indications SPLIT=|,A vaccine package insert PDF URL SPLIT=|
VO:0000003,ACAM2000 vaccine,BL 125158,Active immunization against smallpox disease for persons determined to be at high risk for smallpox infection.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM142572.pdf
VO:0000004,ActHIB vaccine,103935,ActHIB vaccine is indicated for the active immunization of infants and children 2 months through 5 years of age for the prevention of invasive disease caused by H influenzae type b.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM109841.pdf
VO:0000005,Adacel vaccine,BL 125111,"Booster immunization against tetanus, diphtheria and pertussis as a single dose in individuals 10 through 64 years of age.",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM142764.pdf
VO:0000006,Afluria vaccine,BL 125254,For active immunization of persons ages 6 months of age and older against influenza disease caused by influenza virus subtypes A and type B present in the vaccine.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM263239.pdf
VO:0003066,Bexsero vaccine,BL 125546,Active immunization to prevent invasive disease caused by Neisseria meningitidis serogroup B in individuals 10 through 25 years of age.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM431447.pdf
VO:0000014,Biothrax vaccine,BL 103821,For the active immunization for the prevention of disease caused by Bacillus anthracis in persons between 18 and 65 years of age at high risk of exposure.,https://www.fda.gov/downloads/BiologicsBloodVaccines/BloodBloodProducts/ApprovedProducts/LicensedProductsBLAs/UCM074923.pdf
VO:0000015,Boostrix vaccine,BL 125106,"Booster immunization against tetanus, diphtheria and pertussis as a single dose in individuals 10 years of age and older.",https://www.fda.gov/downloads/BiologicsBloodVaccines/UCM152842.pdf
VO:0011559,Cervarix vaccine,BL 125259,"Prevention of cervical cancer, cervical intraepithelial neoplasia (CIN) grade 2 or worse and adenocarcinoma in situ, and cervical intraepithelial neoplasia (CIN) grade 1, caused by oncogenic human papillomavirus (HPV) types 16 and 18, in females9 through 25 years of age.",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM186981.pdf
VO:0004987,Comirnaty vaccine,125742,For active immunization to prevent coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in individuals 12 years of age and older.,https://www.fda.gov/media/151707/download?attachment
VO:0000029,Daptacel vaccine,103666,"Indicated for active immunization against diphtheria, tetanus and pertussis as a five dose series in infants and children 6 weeks through 6 years of age (prior to 7th birthday).",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM103037.pdf
VO:0010711,Engerix-B vaccine,103239,ENGERIX-B is a vaccine indicated for immunization against infection caused by all known subtypes of hepatitis B virus.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM224503.pdf
VO:0000045,Fluarix vaccine,BL 125127,For active immunization of persons 3 years of age and older for the prevention of disease caused by influenza virus subtypes A and type B contained in the vaccine.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM335392.pdf
VO:0000982,FluMist Quadrivalent vaccine,125020,For active immunization for the prevention of influenza disease caused by influenza A subtype viruses and type B viruses contained in the vaccine. FluMist Quadrivalent is approved for use in persons 2 through 49 years of age,https://www.fda.gov/media/160349/download?attachment
VO:0000049,Gardasil vaccine,125126,"- Prevention of vulvar and vaginal cancer
- Vaccination in females 9 through 26 years of age for prevention of the following diseases caused by Human Papillomavirus (HPV) Types 6, 11, 16, and 18:
     - Cervical Cancer
     - Genital warts (condyloma acuminata) and the following precancerous or dysplastic lesions:
          - Cervical adenocarcinoma in situ (AIS)cancer
          - Cervical intraepithelial neoplasia (CIN) grade 2 and grade 3
          - Vulvar intraepithelial neoplasia (VIN) grade 2 and grade 3
          - Vaginal intraepithelial neoplasia (VaIN) grade 2 and grade 3
          - Cervical intraepithelial neoplasia (CIN) grade 1
- Vaccination in boys and men 9 through 26 years of age for the prevention of genital warts caused by HPV types 6 and 11
- Vaccination in people ages 9 through 26 years for the prevention of anal cancer and associated precancerous lesions due to human papillomavirus (HPV) types 6, 11, 16, and 18",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM111263.pdf
