ID,LABEL in VO,OMOP concept ID,RxNorm ID,RxNorm OMOP extension ID,RxNorm Preferred Name,RxNorm Synonym,comment,template file name,repeat comment
ID,,A OMOP concept ID SPLIT=|,A RxNorm ID SPLIT=|,A RxNorm OMOP extension ID SPLIT=|,A RxNorm Preferred Name SPLIT=|,A RxNorm Synonym SPLIT=|,,,
VO:0003150,Hepatitis B surface antigen vaccine,528323,797752,,hepatitis B surface antigen vaccine,,RxNorm,vaccine,
VO:0003196,inactivated acellular pertussis vaccine,529218,798302,,"acellular pertussis vaccine, inactivated",,RxNorm,vaccine,
VO:0003204,"Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML",42800491,1300185,,"Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML",,RxNorm,vaccine,
VO:0003206,"Bordetella pertussis toxoid vaccine, inactivated 0.016 MG/ML",42800495,1300366,,"Bordetella pertussis toxoid vaccine, inactivated 0.016 MG/ML",,RxNorm,vaccine,
VO:0003212,pneumococcal capsular polysaccharide type 1 vaccine,40163661,854930,,Streptococcus pneumoniae type 1 capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 1 vaccine,RxNorm,vaccine,
VO:0003217,pneumococcal capsular polysaccharide type 11A vaccine,40163670,854934,,Streptococcus pneumoniae type 11A capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 11A vaccine,RxNorm,vaccine,
VO:0003218,pneumococcal capsular polysaccharide type 12F vaccine,40163672,854936,,Streptococcus pneumoniae type 12F capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 12F vaccine,RxNorm,vaccine,
VO:0003219,pneumococcal capsular polysaccharide type 14 vaccine,40163674,854938,,Streptococcus pneumoniae type 14 capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 14 vaccine,RxNorm,vaccine,
VO:0003220,pneumococcal capsular polysaccharide type 15B vaccine,40163676,854940,,Streptococcus pneumoniae type 15B capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 15B vaccine,RxNorm,vaccine,
VO:0003221,pneumococcal capsular polysaccharide type 17F vaccine,40163678,854942,,Streptococcus pneumoniae type 17F capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 17F vaccine,RxNorm,vaccine,
VO:0003222,pneumococcal capsular polysaccharide type 18C vaccine,40163680,854944,,Streptococcus pneumoniae type 18C capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 18C vaccine,RxNorm,vaccine,
VO:0003223,pneumococcal capsular polysaccharide type 19A vaccine,40163682,854946,,Streptococcus pneumoniae type 19A capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 19A vaccine,RxNorm,vaccine,
VO:0003224,pneumococcal capsular polysaccharide type 19F vaccine,40163684,854948,,Streptococcus pneumoniae type 19F capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 19F vaccine,RxNorm,vaccine,
VO:0003225,pneumococcal capsular polysaccharide type 2 vaccine,40163686,854950,,Streptococcus pneumoniae type 2 capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 2 vaccine,RxNorm,vaccine,
VO:0003226,pneumococcal capsular polysaccharide type 20 vaccine,40163688,854952,,Streptococcus pneumoniae type 20 capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 20 vaccine,RxNorm,vaccine,
VO:0003227,pneumococcal capsular polysaccharide type 22F vaccine,40163690,854954,,Streptococcus pneumoniae type 22F capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 22F vaccine,RxNorm,vaccine,
VO:0003231,0.5 ML Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injection [Heplisav-B],793520,1994352,,0.5 ML hepatitis B surface antigen vaccine 0.04 MG/ML Injection [Heplisav-B],Heplisav-B 20 MCG per 0.5 ML Injection,RxNorm,vaccine,
VO:0003232,pneumococcal capsular polysaccharide type 4 vaccine,40163698,854962,,Streptococcus pneumoniae type 4 capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 4 vaccine,RxNorm,vaccine,
VO:0003235,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML,46276184,1657332,,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML,,RxNorm,vaccine,
VO:0003237,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML [Recombivax],19133370,830212,,hepatitis B surface antigen vaccine 0.01 MG/ML [Recombivax],,RxNorm,vaccine,
VO:0003238,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection [Recombivax],46275242,1658155,,0.5 ML hepatitis B surface antigen vaccine 0.01 MG/ML Injection [Recombivax],Recombivax HB 5 MCG per 0.5 ML Injection,RxNorm,vaccine,
VO:0003239,1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe [Recombivax],19133378,830245,,1 ML hepatitis B surface antigen vaccine 0.01 MG/ML Prefilled Syringe [Recombivax],"1 ML Recombivax HB, Hepatitis B vaccine (recombinant) adult formulation Prefilled Syringe",RxNorm,vaccine,
VO:0003241,1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection [Recombivax],46275237,1658150,,1 ML hepatitis B surface antigen vaccine 0.01 MG/ML Injection [Recombivax],1 ML Recombivax 0.01 MG/ML Injection,RxNorm,vaccine,
VO:0003242,Hepatitis B Surface Antigen Vaccine Injection [Recombivax],46276309,1657683,,hepatitis B surface antigen vaccine Injection [Recombivax],,RxNorm,vaccine,
VO:0003243,Hepatitis B Surface Antigen Vaccine Prefilled Syringe [Recombivax],40156563,830244,,hepatitis B surface antigen vaccine Prefilled Syringe [Recombivax],,RxNorm,vaccine,
VO:0003244,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe [Recombivax],19133380,830253,,0.5 ML hepatitis B surface antigen vaccine 0.01 MG/ML Prefilled Syringe [Recombivax],Recombivax HB 5 MCG per 0.5 ML Prefilled Syringe,RxNorm,vaccine,
VO:0003246,pneumococcal capsular polysaccharide type 8 vaccine,40163706,854970,,Streptococcus pneumoniae type 8 capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 8 vaccine,RxNorm,vaccine,
VO:0003248,pneumococcal capsular polysaccharide type 3 vaccine,40163694,854958,,Streptococcus pneumoniae type 3 capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 3 vaccine,RxNorm,vaccine,
VO:0003249,pneumococcal capsular polysaccharide type 33F vaccine,40163696,854960,,Streptococcus pneumoniae type 33F capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 33F vaccine,RxNorm,vaccine,
VO:0003250,pneumococcal capsular polysaccharide type 6B vaccine,40163702,854966,,Streptococcus pneumoniae type 6B capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 6B vaccine,RxNorm,vaccine,
VO:0003252,pneumococcal capsular polysaccharide type 23F vaccine,40163692,854956,,Streptococcus pneumoniae type 23F capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 23F vaccine,RxNorm,vaccine,
VO:0003253,pneumococcal capsular polysaccharide type 7F vaccine,40163704,854968,,Streptococcus pneumoniae type 7F capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 7F vaccine,RxNorm,vaccine,
VO:0003254,pneumococcal capsular polysaccharide type 9N vaccine,40163708,854972,,Streptococcus pneumoniae type 9N capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 9N vaccine,RxNorm,vaccine,
VO:0003255,pneumococcal capsular polysaccharide type 5 vaccine,40163700,854964,,Streptococcus pneumoniae type 5 capsular polysaccharide antigen,pneumococcal capsular polysaccharide type 5 vaccine,RxNorm,vaccine,
VO:0003256,Hepatitis B Surface Antigen Vaccine 0.02 MG/ML,528324,797753,,hepatitis B surface antigen vaccine 0.02 MG/ML,,RxNorm,vaccine,
VO:0003257,Hepatitis B Surface Antigen Vaccine 0.005 MG/ML,19133373,830236,,hepatitis B surface antigen vaccine 0.005 MG/ML,,RxNorm,vaccine,
VO:0003258,Hepatitis B Surface Antigen Vaccine Prefilled Syringe [Engerix-B],40150695,798427,,hepatitis B surface antigen vaccine Prefilled Syringe [Engerix-B],,RxNorm,vaccine,
VO:0003259,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection,46275243,1658156,,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection,hepatitis B surface antigen vaccine 20 MCG per 1 ML Injection,RxNorm,vaccine,
VO:0003260,influenza A virus A/California/7/2009 (H1N1) antigen 0.12 MG/ML,46275391,1658708,,influenza A virus A/California/7/2009 (H1N1) antigen 0.12 MG/ML,,RxNorm,vaccine,
VO:0003262,0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection,46275229,1658142,,0.5 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection,hepatitis B surface antigen vaccine 10 MCG per 0.5 ML Injection,RxNorm,vaccine,
VO:0003263,Hepatitis B Surface Antigen Vaccine 0.02 MG/ML [Engerix-B],19063453,798422,,hepatitis B surface antigen vaccine 0.02 MG/ML [Engerix-B],,RxNorm,vaccine,
VO:0003264,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B],528328,798428,,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B],Engerix-B 20 MCG per 1 ML Prefilled Syringe,RxNorm,vaccine,
VO:0003265,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection [Engerix-B],46275244,1658157,,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection [Engerix-B],Engerix-B 20 MCG per 1 ML Injection,RxNorm,vaccine,
VO:0003266,0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection [Engerix-B],46275231,1658144,,0.5 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection [Engerix-B],Engerix-B 10 MCG per 0.5 ML Injection,RxNorm,vaccine,
VO:0003267,0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B],19130426,798430,,0.5 ML hepatitis B surface antigen vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B],"Engerix-B, Hepatitis B Surface Antigen Vaccine, Adsorbed (Pediatric Dose) 0.5 ML Prefilled Syringe",RxNorm,vaccine,
VO:0003270,Hepatitis B Surface Antigen Vaccine Injection [Heplisav-B],793518,1994350,,hepatitis B surface antigen vaccine Injection [Heplisav-B],,RxNorm,vaccine,
VO:0003272,0.65 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML Injection,42800034,1292432,,0.65 ML varicella-zoster virus vaccine live (Oka-Merck) strain 29800 UNT/ML Injection,"varicella-zoster virus vaccine live (Oka-Merck) strain 19,400 PFU per 0.65 ML Injection",RxNorm,vaccine,
VO:0003273,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain,42800027,1292422,,varicella-zoster virus vaccine live (Oka-Merck) strain,,RxNorm,vaccine,
VO:0003274,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injection,46275138,1658006,,varicella-zoster virus vaccine live (Oka-Merck) strain Injection,,RxNorm,vaccine,
VO:0003275,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 2700 UNT/ML,42800029,1292423,,varicella-zoster virus vaccine live (Oka-Merck) strain 2700 UNT/ML,,RxNorm,vaccine,
VO:0003276,0.5 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 2700 UNT/ML Injection,42800030,1292457,,0.5 ML varicella-zoster virus vaccine live (Oka-Merck) strain 2700 UNT/ML Injection,varicella-zoster virus vaccine live (Oka-Merck) strain 1350 PFU per 0.5 ML Injection,RxNorm,vaccine,
VO:0003279,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML,42800033,1292430,,varicella-zoster virus vaccine live (Oka-Merck) strain 29800 UNT/ML,,RxNorm,vaccine,
VO:0003281,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injection [Zostavax],46275142,1658013,,varicella-zoster virus vaccine live (Oka-Merck) strain Injection [Zostavax],,RxNorm,vaccine,
VO:0003282,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML [Zostavax],42800036,1292433,,varicella-zoster virus vaccine live (Oka-Merck) strain 29800 UNT/ML [Zostavax],,RxNorm,vaccine,
VO:0003283,0.65 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML Injection [Zostavax],42800035,1292435,,0.65 ML varicella-zoster virus vaccine live (Oka-Merck) strain 29800 UNT/ML Injection [Zostavax],"Zostavax 19,400 PFU per 0.65 ML Injection",RxNorm,vaccine,
VO:0003286,Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174009,901622,,Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,,RxNorm,vaccine,
VO:0003287,Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174014,901627,,Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,,RxNorm,vaccine,
VO:0003288,Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174017,901630,,Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,,RxNorm,vaccine,
VO:0003289,Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174007,901621,,Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,,RxNorm,vaccine,
VO:0003290,Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0088 MG/ML,40174022,901635,,Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0088 MG/ML,,RxNorm,vaccine,
VO:0003291,Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174025,901638,,Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,,RxNorm,vaccine,
VO:0003292,Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174013,901626,,Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,,RxNorm,vaccine,
VO:0003293,Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174016,901629,,Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,,RxNorm,vaccine,
VO:0003294,Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174019,901632,,Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,,RxNorm,vaccine,
VO:0003295,Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174021,901634,,Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,,RxNorm,vaccine,
VO:0003296,Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174012,901625,,Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,,RxNorm,vaccine,
VO:0003297,Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174010,901623,,Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,,RxNorm,vaccine,
VO:0003298,Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174024,901637,,Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,,RxNorm,vaccine,
VO:0003300,"L1 protein, Human papillomavirus type 6 Vaccine",529116,798268,,"L1 protein, human papillomavirus type 6 vaccine",,RxNorm,vaccine,
VO:0003301,"L1 protein, Human papillomavirus type 11 Vaccine",529076,798262,,"L1 protein, human papillomavirus type 11 vaccine",,RxNorm,vaccine,
VO:0003302,"L1 protein, Human papillomavirus type 18 Vaccine",529114,798266,,"L1 protein, human papillomavirus type 18 vaccine",,RxNorm,vaccine,
VO:0003303,"L1 protein, Human papillomavirus type 16 Vaccine",529112,798264,,"L1 protein, human papillomavirus type 16 vaccine",,RxNorm,vaccine,
VO:0003304,"L1 protein, Human papillomavirus type 31 Vaccine",45892474,1596930,,"L1 protein, human papillomavirus type 31 vaccine",,RxNorm,vaccine,
VO:0003305,"L1 protein, Human papillomavirus type 33 Vaccine",45892475,1596931,,"L1 protein, human papillomavirus type 33 vaccine",,RxNorm,vaccine,
VO:0003306,"L1 protein, Human papillomavirus type 45 Vaccine",45892476,1596932,,"L1 protein, human papillomavirus type 45 vaccine",,RxNorm,vaccine,
VO:0003307,"L1 protein, Human papillomavirus type 52 Vaccine",45892477,1596933,,"L1 protein, human papillomavirus type 52 vaccine",,RxNorm,vaccine,
VO:0003308,"L1 protein, Human papillomavirus type 58 Vaccine",45892478,1596934,,"L1 protein, human papillomavirus type 58 vaccine",,RxNorm,vaccine,
VO:0003323,pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML,40163664,854931,,Streptococcus pneumoniae type 1 capsular polysaccharide antigen 0.05 MG/ML,,RxNorm,vaccine,
VO:0003333,Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine,40174023,901636,,Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine,,RxNorm,vaccine,
VO:0003334,Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine,40174004,901620,,Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine,,RxNorm,vaccine,
VO:0003335,Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine,528986,798220,,Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine,,RxNorm,vaccine,
VO:0003337,Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine,528988,798222,,Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine,,RxNorm,vaccine,
VO:0003338,Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine,40174011,901624,,Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine,,RxNorm,vaccine,
VO:0003339,Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine,528990,798224,,Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine,,RxNorm,vaccine,
VO:0003340,Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine,529042,798226,,Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine,,RxNorm,vaccine,
VO:0003341,Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine,40174015,901628,,Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine,,RxNorm,vaccine,
VO:0003342,Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine,529044,798228,,Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine,,RxNorm,vaccine,
VO:0003343,Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine,40174018,901631,,Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine,,RxNorm,vaccine,
VO:0003344,Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine,40174020,901633,,Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine,,RxNorm,vaccine,
VO:0003345,Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine,529046,798230,,Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine,,RxNorm,vaccine,
VO:0003346,Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine,529072,798232,,Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine,,RxNorm,vaccine,
VO:0003347,meningococcal group B vaccine,45775636,1593128,,meningococcal group B vaccine,,RxNorm,vaccine,
VO:0003349,meningococcal group B vaccine 0.1 MG/ML,45892091,1601397,,meningococcal group B vaccine 0.1 MG/ML,,RxNorm,vaccine,
VO:0003350,meningococcal group B vaccine Prefilled Syringe,45775639,1593133,,meningococcal group B vaccine Prefilled Syringe,,RxNorm,vaccine,
VO:0003354,Typhoid Vaccine Live Ty21a Delayed Release Oral Capsule [Vivotif],40148796,762601,,Salmonella typhi Ty21a live antigen Delayed Release Oral Capsule [Vivotif],,RxNorm,vaccine,
VO:0003356,Typhoid Vaccine Live Ty21a 2000000000 UNT Delayed Release Oral Capsule [Vivotif],19129379,762602,,Salmonella typhi Ty21a live antigen 2000000000 UNT Delayed Release Oral Capsule [Vivotif],"Vivotif Berna 2,000,000,000 UNT Delayed Release Oral Capsule",RxNorm,vaccine,
VO:0003359,meningococcal group B vaccine Prefilled Syringe [Bexsero],45892098,1601405,,meningococcal group B vaccine Prefilled Syringe [Bexsero],,RxNorm,vaccine,
VO:0003361,Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen 0.1 MG/ML,45892092,1601398,,Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen 0.1 MG/ML,,RxNorm,vaccine,
VO:0003363,Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen 0.1 MG/ML,45892093,1601399,,Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen 0.1 MG/ML,,RxNorm,vaccine,
