ID,vaccine_label_in-VO,VIOLIN vaccine ID,violin_link,c_vaccine_name,pathogen,name different,Comment
ID,,A VIOLIN vaccine ID SPLIT=|,A definition source SPLIT=|,,,,
VO:0000043,FluLaval,327,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=327,FluLaval,,NO,
VO:0000044,FluMist,328,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=328,FluMist,,NO,
VO:0000046,Fluvirin,329,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=329,Fluvirin,,NO,
VO:0000047,Fluzone,330,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=330,Fluzone,,NO,
VO:0000078,Mycobax,315,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=315,Mycobax,,NO,
VO:0000079,Fluzone High-dose,754,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=754,Fluzone High-Dose,,NO,
VO:0000089,Poliovax,339,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=339,Poliovax,,NO,
VO:0000092,Fluzone Intradermal Quadrivalent,5567,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=5567,Fluzone Intradermal Quadrivalent,,NO,
VO:0000096,"Adenovirus Type 4 and Type 7 Vaccine, Live, Oral",3116,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=3116,"Adenovirus Type 4 and Type 7 Vaccine, Live, Oral",,NO,
VO:0000110,E. coli O157:H7 intimin vaccine,277,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=277,E. coli O157:H7 intimin vaccine,,NO,
VO:0000201,Porcilis-PCV2,387,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=387,Porcilis-PCV2,,NO,
VO:0000203,Suvaxyn PCV2,388,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=388,Suvaxyn PCV2,,NO,
VO:0000263,sodB(Ft),55,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=55,sodB(Ft),,NO,
VO:0000300,B. melitensis strain VTRM1,135,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=135,B. melitensis strain VTRM1,,NO,
VO:0000307,KKF24,60,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=60,KKF24,,NO,
VO:0000308,F. tularensis vaccine LVS LPS,58,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=58,F. tularensis vaccine LVS LPS,,NO,
VO:0000347,Brucella abortus bacA mutant,301,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=301,Brucella abortus bacA mutant,,NO,
VO:0000352,Megan Egg,752,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=752,Megan Egg,,NO,
VO:0000358,Brucella recombinant SurA protein vaccine,445,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=445,Brucella recombinant SurA protein vaccine,,NO,
VO:0000407,recombinant O. anthropi 49237SOD,113,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=113,Recombinant O. anthropi 49237SOD,,NO,
VO:0000432,nontypeable H. influenzae Hap protein vaccine,170,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=170,Nontypeable H. influenzae Hap Protein Vaccine,,NO,
VO:0000436,B. melitensis DNA vaccine encoding Omp31 boosted with Omp31,446,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=446,B. melitensis DNA vaccine encoding Omp31 boosted with Omp31,,NO,
VO:0000450,NPAP Brucella vaccine,275,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=275,NPAP Brucella vaccine,,NO,
VO:0000454,APEC vaccine using GST-Iss fusion protein,134,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=134,APEC vaccine using GST-Iss fusion protein,,NO,
VO:0000459,E. coli O157:H7 subunit vaccine expressing Esps and Tir,274,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=274,E. coli O157:H7 subunit vaccine expressing Esps and Tir,,NO,
VO:0000466,soybean-expressed E. coli LTB vaccine,125,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=125,soybean-expressed E. coli LTB vaccine,,NO,
VO:0000473,non-typeable H. influenzae rLP4/rLP6 and Moraxella catarrhalis UspA2 protein vaccine,169,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=169,Non-typeable H. influenzae rLP4/rLP6 and Moraxella catarrhalis UspA2 protein vaccine,,NO,
VO:0000474,killed nontypeable H. influenzae whole-cell vaccine,163,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=163,Killed nontypeable H. influenzae whole-cell vaccine,,NO,
VO:0000478,E. coli vaccine using intimin polypeptide,122,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=122,E. coli vaccine using intimin polypeptide,,NO,
VO:0000480,nontypeable H. influenzae LOS-TT conjugate vaccine,164,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=164,Nontypeable H. influenzae LOS-TT conjugate vaccine,,NO,
VO:0000501,E. coli vaccine using verocytotoxin toxoid,281,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=281,E. coli vaccine using verocytotoxin toxoid,,NO,
VO:0000505,EHEC O157 subunit vaccine using his-tagged N-terminal intimin,278,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=278,EHEC O157 subunit vaccine using his-tagged N-terminal intimin,,NO,
VO:0000509,nontypeable H. influenzae P5 peptide MVF/H3 vaccine,193,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=193,nontypeable H. influenzae P5 peptide MVF/H3 vaccine,,NO,
VO:0000510,nontypeable H. influenzae rTbpB vaccine,195,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=195,Nontypeable H. influenzae rTbpB vaccine,,NO,
VO:0000522,DAAV using PA and PGA,24,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=24,DAAV using PA and PGA,,NO,
VO:0000526,rPA with adjuvant Nanoemulsion,309,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=309,rPA with adjuvant Nanoemulsion,,NO,
VO:0000535,recombinant S. typhimurium secreting M. tuberculosis ESAT-6,176,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=176,recombinant S. typhimurium secreting M. tuberculosis ESAT-6,,NO,
VO:0000536,Ag85B and ESAT-6 fusion protein,171,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=171,Ag85B and ESAT-6 fusion protein,,NO,
VO:0000543,attenuated M. bovis strain WAg539,177,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=177,attenuated M. bovis strain WAg539,,NO,
VO:0000558,recombinant nontypeable H. influenzae protein P6 with AdDP,189,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=189,recombinant nontypeable H. influenzae protein P6 with AdDP,,NO,
VO:0000564,M. tuberculosis secA2 mutant,222,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=222,M. tuberculosis secA2 mutant,,NO,
VO:0000565,rBCG-Ag85A[Tokyo],236,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=236,rBCG-Ag85A[Tokyo],,NO,
VO:0000567,DNA vaccine Rv1806-1807,166,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=166,DNA vaccine Rv1806-1807,,NO,
VO:0000588,M. tuberculosis phoP mutant SO2,178,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=178,M. tuberculosis phoP mutant SO2,,NO,
VO:0000603,BCG mutant secreting listeriolysin,173,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=173,BCG mutant secreting listeriolysin,,NO,
VO:0000614,Nontypeable H. influenzae protein P6 with cholera toxin,188,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=188,Nontypeable H. influenzae protein P6 with cholera toxin,,NO,
VO:0000627,H. influenzae Type b capsular polysaccharide vaccine,165,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=165,H. influenzae Type b Capsular Polysaccharide Vaccine,,NO,
VO:0000663,SC602,259,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=259,SC602,,NO,
VO:0000666,CVD 1208,441,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=441,CVD 1208,,NO,
VO:0000668,CVD 1208S,272,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=272,CVD 1208S,,NO,
VO:0000670,EcSf2a-2,267,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=267,EcSf2a-2,,NO,
VO:0000672,heat-killed virulent Shigella flexneri 2a,268,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=268,Heat-killed Virulent Shigella flexneri 2a,,NO,
VO:0000674,Recombinant SFL124-27 expressing S. dysenteriae type 1 O antigen,258,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=258,Recombinant SFL124-27 expressing S. dysenteriae type 1 O antigen,,NO,
VO:0000676,S. dysenteriae 1 strain WRSd1,263,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=263,S. dysenteriae 1 strain WRSd1,,NO,
