ID,LABEL,Type,Parent,alternative label,definition,term editor,editor note,example of usage,domain,range,term tracker item
ID,A rdfs:label,TYPE,SP %  SPLIT=|,A alternative label SPLIT=|,A definition SPLIT=|,A term editor SPLIT=|,A editor note SPLIT=|,A example of usage SPLIT=|,DOMAIN,RANGE,A term tracker item SPLIT=|
VO:0000608,DNA vaccine expresses protein antigen,Object property,expresses,,An 'expresses' relation that specifies a relation between a DNA vaccine and a  protein antigen to be expressed by the DNA vaccine. ,Oliver He,,,,,
VO:0000894,has subunit vaccine protective antigen,Object property,has subunit vaccine antigen,,A 'has subunit vaccine antigen' relation that indicates the antigen is protective.,Oliver He,,,,,
VO:0000525,has subunit vaccine antigen,Object property,has vaccine antigen,,A type of 'has vaccine antigen' relation that is specifically for vaccine protective protein antigen used in subunit vaccine development,Asiyah Yu Lin|Oliver He,,,,,
VO:0000527,has vaccine protective antigen,Object property,has vaccine antigen,,A type of 'has vaccine antigen' relation that is specifically for vaccine protective antigen component,Asiyah Yu Lin|Oliver He,,,,,
VO:0000476,has DNA vaccine antigen gene,Object property,has vaccine component,,"A 'has vaccine component' relation that specifies a gene inserted to DNA vaccine plasmid for development of a particular DNA vaccine, and this gene encodes for a protein antigen. ",Oliver He,,,,,
VO:0000369,has DNA vaccine plasmid,Object property,has vaccine component,,A 'has vaccine component' relation that specifies the plasmid used for development of a particular DNA vaccine. ,Oliver He,,,,,
VO:0000529,has vaccine adjuvant,Object property,has vaccine component,,A type of 'has vaccine component' relation that is specifically for vaccine adjuvant component,Asiyah Yu Lin|Oliver He,,,,,
VO:0000016,has vaccine conjugate protein,Object property,has vaccine component,,A type of 'has vaccine component' relation that specifies a vaccine conjugate protein for a specific vaccine,,,,,,
VO:0000538,has vaccine preservative,Object property,has vaccine component,,A 'has vaccine component' relation that is specifically used for vaccine preservative,Asiyah Yu Lin|Oliver He,,,,,
VO:0000530,has vaccine vector,Object property,has vaccine component,,A type of 'has vaccine component' relation that is specifically for vaccine vector component,Asiyah Yu Lin|Oliver He,,,,recombinant vaccine vector,
VO:0000138,has bacterial vaccine vector,Object property,has vaccine vector,,A type of 'has vaccine vector' relation that specifies a bacterial vaccine vector,Oliver He,,,,Bacteria,
VO:0000281,has viral vaccine vector,Object property,has vaccine vector,,A type of 'has vaccine vector' that is specifically for viral vaccine vector,,,,,,
VO:0005561,blocks transmission of pathogen via vaccine,Object property,immunizes against pathogen|capable of blocking transmission (of life cycle),,A relation between a vaccine and a parasite where the vaccine immunizes against some parasite such that the parasite is blocked transmitting to additional hosts or vectors.,,,,,,https://github.com/vaccineontology/VO/issues/675
VO:0005481,capable of blocking transmission (of life cycle),Object property,,,A relation between a material entity  and a parasite where the material entity causes some process against some parasite such that transmitting to additional hosts or vectors.,,,,,,
VO:0003128,has boost vaccine,Object property,,,An object property that represents a relation between a vaccine with a prime-boost schedule and a vaccine used for boost.,Oliver He,,,vaccine,vaccine,
VO:0001039,has gene mutation,Object property,,,An object property that represents an organism has a mutation of a specific gene from the organism genome.,Oliver He,,,,,
VO:0005377,has molecular receptor,Object property,,,An object property that represents a relation between a material entity and a molecular entitiy that serves as the molecular receptor to the material entity.,Oliver He,,A vaccine adjuvant T-vant has molecular receptor of TLR4. Reference: https://vac.niaid.nih.gov/view?id=61.,,,
VO:0003127,has prime vaccine,Object property,,,An object property that represents a relation between a vaccine with a prime-boost schedule and a vaccine used for priming.,Oliver He,,,,,
